timestamp,Binance_BTCTUSD_Ask,Binance_BTCTUSD_Bid,Bybit_BTCUSDC_Ask,Bybit_BTCUSDC_Bid
2023-07-04 11:43:41,31021.96,31020.54,31029.6,31024.24
2023-07-04 11:43:46,31021.99,31020.79,31029.79,31024.72
2023-07-04 11:43:52,31023.99,31022.63,31031.98,31026.33
2023-07-04 11:43:57,31017.98,31016.37,31025.67,31020.92
2023-07-04 11:44:02,31023.06,31020.84,31030.24,31026.0
2023-07-04 11:44:07,31026.06,31024.49,31033.76,31031.05
2023-07-04 11:44:13,31023.13,31022.39,31032.74,31027.58
2023-07-04 11:44:18,31023.8,31022.13,31032.72,31028.64
2023-07-04 11:44:23,31027.09,31025.7,31035.08,31028.92
2023-07-04 11:44:28,31022.38,31021.07,31031.2,31025.1
2023-07-04 11:44:33,31022.8,31021.71,31031.74,31025.29
2023-07-04 11:44:39,31023.43,31021.82,31031.97,31025.54
2023-07-04 11:44:44,31021.28,31019.64,31028.0,31022.91
2023-07-04 11:44:49,31022.38,31021.22,31029.97,31023.28
2023-07-04 11:44:55,31021.99,31020.31,31029.48,31023.09
2023-07-04 11:45:00,31023.81,31022.38,31032.77,31026.06
2023-07-04 11:45:05,31029.35,31028.91,31037.81,31031.49
2023-07-04 11:45:10,31023.34,31021.98,31029.97,31026.69
2023-07-04 11:45:15,31024.66,31022.9,31032.13,31027.3
2023-07-04 11:45:21,31023.48,31022.19,31030.91,31026.78
2023-07-04 11:45:26,31023.67,31022.08,31030.91,31026.98
2023-07-04 11:45:31,31022.0,31020.93,31030.0,31027.11
2023-07-04 11:45:36,31022.32,31020.75,31029.93,31026.31
2023-07-04 11:45:42,31022.68,31021.94,31030.0,31026.42
2023-07-04 11:45:47,31024.88,31023.47,31032.99,31028.42
2023-07-04 11:45:52,31024.98,31023.52,31032.99,31028.42
2023-07-04 11:45:57,31025.48,31024.32,31032.99,31028.42
2023-07-04 11:46:02,31024.81,31022.72,31032.69,31028.42
2023-07-04 11:46:08,31025.0,31024.58,31034.6,31029.21
2023-07-04 11:46:13,31026.67,31025.55,31034.6,31029.21
2023-07-04 11:46:18,31027.12,31025.83,31034.59,31029.3
2023-07-04 11:46:23,31028.6,31026.93,31035.8,31031.23
2023-07-04 11:46:29,31026.98,31025.68,31034.67,31030.39
2023-07-04 11:46:34,31027.79,31027.63,31034.68,31031.21
2023-07-04 11:46:39,31031.06,31028.86,31039.14,31034.83
2023-07-04 11:46:44,31030.59,31029.18,31038.54,31034.83
2023-07-04 11:46:50,31030.17,31028.95,31036.97,31032.83
2023-07-04 11:46:55,31030.26,31029.71,31036.97,31033.46
2023-07-04 11:47:00,31031.71,31028.88,31038.14,31033.58
2023-07-04 11:47:05,31026.64,31026.01,31032.7,31030.44
2023-07-04 11:47:10,31028.0,31026.73,31033.53,31030.77
2023-07-04 11:47:15,31026.33,31025.75,31033.5,31029.78
2023-07-04 11:47:21,31026.31,31024.98,31033.5,31029.78
2023-07-04 11:47:26,31025.28,31024.55,31033.5,31028.25
2023-07-04 11:47:31,31027.55,31026.03,31033.52,31029.19
2023-07-04 11:47:36,31028.55,31027.64,31036.36,31031.72
2023-07-04 11:47:41,31029.05,31028.27,31037.04,31032.73
2023-07-04 11:47:47,31028.27,31027.66,31036.25,31032.73
2023-07-04 11:47:52,31025.37,31023.89,31034.28,31030.57
2023-07-04 11:47:57,31027.05,31025.16,31034.31,31030.57
2023-07-04 11:48:02,31029.27,31027.77,31036.91,31032.27
2023-07-04 11:48:08,31028.46,31027.31,31036.69,31032.2
2023-07-04 11:48:13,31029.36,31027.74,31036.69,31033.54
2023-07-04 11:48:18,31028.0,31027.32,31034.63,31030.66
2023-07-04 11:48:23,31028.03,31027.12,31036.18,31034.66
2023-07-04 11:48:28,31031.77,31030.72,31040.19,31035.63
2023-07-04 11:48:34,31032.24,31031.09,31041.05,31037.36
2023-07-04 11:48:39,31033.25,31031.73,31041.05,31037.36
2023-07-04 11:48:44,31033.0,31031.83,31041.05,31037.64
2023-07-04 11:48:49,31037.36,31036.89,31046.13,31043.32
2023-07-04 11:48:55,31037.92,31036.7,31047.04,31042.94
2023-07-04 11:49:00,31037.21,31036.05,31046.23,31040.82
2023-07-04 11:49:05,31036.98,31035.92,31045.68,31040.84
2023-07-04 11:49:10,31035.68,31034.65,31043.23,31038.03
2023-07-04 11:49:15,31034.91,31033.91,31042.3,31038.09
2023-07-04 11:49:21,31037.99,31036.25,31047.2,31043.18
2023-07-04 11:49:26,31037.26,31035.49,31045.97,31042.38
2023-07-04 11:49:31,31037.99,31037.48,31046.78,31042.02
2023-07-04 11:49:36,31042.66,31041.16,31049.72,31045.33
2023-07-04 11:49:42,31042.51,31041.17,31048.61,31045.38
2023-07-04 11:49:47,31037.14,31036.2,31049.3,31045.03
2023-07-04 11:49:52,31038.94,31038.33,31048.39,31045.03
2023-07-04 11:49:57,31030.81,31028.55,31037.95,31034.51
2023-07-04 11:50:03,31029.83,31029.23,31039.5,31034.22
2023-07-04 11:50:08,31030.35,31029.24,31038.36,31034.22
2023-07-04 11:50:13,31029.06,31027.91,31037.74,31032.87
2023-07-04 11:50:18,31028.57,31027.35,31035.99,31032.22
2023-07-04 11:50:24,31029.24,31027.39,31035.99,31032.22
2023-07-04 11:50:29,31030.27,31028.68,31037.22,31033.05
2023-07-04 11:50:34,31033.35,31032.92,31040.19,31036.64
2023-07-04 11:50:39,31033.25,31032.07,31040.18,31036.68
2023-07-04 11:50:45,31030.85,31029.82,31038.17,31033.11
2023-07-04 11:50:50,31031.37,31030.07,31038.15,31032.28
2023-07-04 11:50:55,31032.34,31031.33,31038.15,31032.57
2023-07-04 11:51:00,31038.17,31036.66,31044.63,31040.49
2023-07-04 11:51:06,31040.9,31039.43,31043.83,31040.9
2023-07-04 11:51:11,31039.08,31036.31,31043.85,31041.17
2023-07-04 11:51:16,31038.14,31037.14,31041.96,31038.09
2023-07-04 11:51:21,31035.69,31034.36,31040.83,31037.05
2023-07-04 11:51:27,31033.11,31032.05,31036.34,31032.01
2023-07-04 11:51:32,31031.0,31029.07,31035.38,31033.37
2023-07-04 11:51:37,31033.05,31032.07,31035.38,31032.01
2023-07-04 11:51:42,31033.2,31032.82,31035.38,31032.01
2023-07-04 11:51:48,31033.09,31032.01,31036.62,31032.46
2023-07-04 11:51:53,31034.47,31033.5,31039.02,31035.59
2023-07-04 11:51:58,31033.79,31032.83,31039.6,31035.59
2023-07-04 11:52:03,31035.97,31035.2,31042.8,31037.58
2023-07-04 11:52:09,31036.0,31034.93,31042.8,31037.58
2023-07-04 11:52:14,31042.25,31041.0,31046.57,31043.77
2023-07-04 11:52:19,31042.0,31041.32,31046.56,31042.97
2023-07-04 11:52:24,31040.97,31040.0,31046.56,31042.97
2023-07-04 11:52:30,31041.49,31040.02,31046.46,31042.06
2023-07-04 11:52:35,31037.54,31036.02,31043.6,31040.28
2023-07-04 11:52:40,31035.1,31034.0,31039.0,31035.51
2023-07-04 11:52:45,31035.33,31033.67,31039.09,31035.07
2023-07-04 11:52:51,31035.14,31033.99,31039.09,31035.05
2023-07-04 11:52:56,31035.39,31034.71,31040.75,31037.49
2023-07-04 11:53:01,31034.89,31033.27,31040.07,31035.1
2023-07-04 11:53:06,31034.84,31033.62,31040.05,31035.98
2023-07-04 11:53:11,31034.28,31033.0,31040.0,31035.98
2023-07-04 11:53:17,31028.98,31027.39,31035.07,31031.35
2023-07-04 11:53:22,31027.12,31026.46,31034.21,31030.21
2023-07-04 11:53:27,31024.98,31024.61,31030.62,31027.59
2023-07-04 11:53:32,31026.97,31025.67,31031.2,31027.59
2023-07-04 11:53:38,31026.18,31024.59,31031.28,31027.59
2023-07-04 11:53:43,31024.88,31024.27,31030.82,31027.59
2023-07-04 11:53:48,31026.0,31024.44,31030.38,31027.59
2023-07-04 11:53:53,31026.18,31024.79,31030.81,31027.65
2023-07-04 11:53:59,31024.9,31022.69,31030.62,31025.82
2023-07-04 11:54:04,31026.12,31025.05,31031.28,31026.89
2023-07-04 11:54:09,31027.06,31026.43,31032.03,31026.53
2023-07-04 11:54:14,31027.49,31026.03,31031.64,31026.17
