timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHPERPCMCBL_bid,Bitget_ETHPERPCMCBL_ask
2023-07-30 15:25:47,1882.01,1882.2,1883.05,1883.1,1881.41,1881.64
2023-07-30 15:26:18,1882.21,1882.33,1883.0,1883.05,1881.76,1881.82
2023-07-30 15:26:49,1881.67,1881.79,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:20,1881.71,1881.87,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:50,1881.86,1881.92,1882.85,1882.9,1881.79,1881.85
2023-07-30 15:28:21,1881.9,1882.09,1882.75,1882.8,1881.79,1881.85
2023-07-30 15:28:52,1881.65,1881.79,1882.65,1882.7,1881.79,1881.85
2023-07-30 15:29:22,1881.75,1881.85,1882.65,1882.7,1881.79,1881.85
2023-07-30 15:29:53,1881.07,1881.19,1882.25,1882.3,1880.87,1880.93
2023-07-30 15:30:24,1881.81,1881.95,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:30:55,1881.9,1882.01,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:31:25,1881.85,1882.16,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:31:56,1881.81,1881.96,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:32:27,1881.81,1881.99,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:32:57,1881.3,1881.38,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:33:28,1880.68,1880.86,1882.3,1882.35,1880.96,1881.02
2023-07-30 15:33:59,1880.71,1880.88,1882.0,1882.05,1880.96,1881.02
2023-07-30 15:34:29,1880.8,1880.96,1882.2,1882.25,1880.61,1880.67
2023-07-30 15:35:00,1880.56,1880.75,1882.2,1882.25,1880.45,1880.67
2023-07-30 15:35:31,1880.44,1880.65,1882.2,1882.25,1880.45,1880.56
2023-07-30 15:36:02,1880.79,1880.88,1882.2,1882.25,1880.45,1880.51
2023-07-30 15:36:32,1880.77,1880.92,1882.2,1882.25,1880.78,1880.84
2023-07-30 15:37:03,1880.98,1881.15,1882.2,1882.25,1880.78,1880.84
2023-07-30 15:37:34,1880.83,1880.95,1882.2,1882.25,1880.78,1880.84
2023-07-30 15:38:04,1881.25,1881.39,1882.2,1882.25,1880.78,1880.84
2023-07-30 15:38:35,1881.8,1881.99,1882.7,1882.75,1881.62,1881.85
2023-07-30 15:39:06,1881.66,1881.91,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:39:37,1881.65,1881.8,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:40:07,1881.84,1882.07,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:40:38,1881.39,1881.58,1882.7,1882.75,1881.24,1881.3
2023-07-30 15:41:09,1881.34,1881.5,1882.7,1882.75,1881.24,1881.3
2023-07-30 15:41:39,1881.15,1881.27,1882.7,1882.75,1881.04,1881.1
2023-07-30 15:42:10,1880.73,1880.9,1882.0,1882.05,1880.55,1880.61
2023-07-30 15:42:41,1880.18,1880.34,1881.6,1881.65,1879.97,1880.03
2023-07-30 15:43:12,1880.42,1880.55,1881.6,1881.65,1879.97,1880.03
2023-07-30 15:43:42,1880.56,1880.65,1881.6,1881.65,1879.97,1880.03
2023-07-30 15:44:13,1880.41,1880.59,1881.6,1881.65,1879.97,1880.03
2023-07-30 15:44:44,1880.45,1880.59,1881.6,1881.65,1879.97,1880.03
2023-07-30 15:45:14,1880.44,1880.64,1881.6,1881.65,1879.97,1880.03
2023-07-30 15:45:45,1880.7,1880.83,1881.6,1881.65,1879.97,1880.03
2023-07-30 15:46:16,1880.56,1880.77,1881.6,1881.65,1879.97,1880.03
2023-07-30 15:46:46,1880.33,1880.47,1881.6,1881.65,1879.97,1880.03
2023-07-30 15:47:17,1880.0,1880.13,1881.6,1881.65,1879.73,1879.79
