timestamp,Binance_BTCTUSD_bid,Binance_BTCTUSD_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_BTCUSDTUMCBL_bid,Bitget_BTCUSDTUMCBL_ask
2023-08-01 19:40:27,29128.29,29128.9,1845.15,1845.2,29110.0,29110.5
2023-08-01 19:44:06,29124.74,29125.5,29135.5,29136.0,29107.5,29108.0
2023-08-02 09:18:08,29398.66,29399.93,29448.0,29448.5,29450.0,29451.5
2023-08-02 09:19:05,29369.01,29370.0,29415.0,29415.5,29418.5,29419.0
2023-08-02 09:19:16,29360.01,29362.54,29405.0,29405.5,29401.5,29402.0
2023-08-02 09:19:27,29376.16,29377.99,29421.0,29421.5,29423.0,29423.5
2023-08-02 09:19:37,29390.0,29390.86,29430.5,29431.0,29433.5,29434.0
2023-08-02 09:19:48,29390.77,29391.97,29431.5,29432.0,29436.5,29437.0
2023-08-02 09:19:59,29382.07,29382.98,29427.5,29428.0,29433.0,29433.5
2023-08-02 09:20:10,29392.06,29394.75,29438.0,29438.5,29442.5,29443.0
2023-08-02 09:20:20,29378.03,29381.06,29420.0,29420.5,29435.0,29435.5
2023-08-02 09:20:31,29378.46,29379.2,29420.5,29421.0,29430.0,29430.5
2023-08-02 09:20:42,29394.28,29395.76,29431.5,29432.0,29438.0,29439.0
2023-08-02 09:20:52,29385.95,29387.48,29425.0,29425.5,29436.0,29436.5
2023-08-02 09:21:03,29383.0,29384.72,29425.0,29425.5,29431.5,29434.0
2023-08-02 09:21:14,29372.23,29372.96,29416.0,29416.5,29423.5,29424.0
2023-08-02 09:21:25,29372.91,29374.3,29417.5,29418.0,29425.0,29425.5
2023-08-02 09:21:35,29365.94,29367.0,29410.0,29410.5,29416.0,29416.5
2023-08-02 09:21:46,29374.37,29376.49,29422.0,29422.5,29426.5,29427.0
2023-08-02 09:21:56,29366.8,29367.63,29408.5,29409.0,29415.5,29416.0
2023-08-02 09:22:07,29368.15,29369.27,29408.5,29409.0,29416.0,29416.5
2023-08-02 09:22:18,29384.48,29385.99,29424.5,29425.0,29419.5,29420.0
2023-08-02 09:22:28,29378.48,29379.74,29419.5,29420.0,29425.0,29425.5
2023-08-02 09:22:39,29374.06,29374.9,29419.5,29420.0,29424.5,29425.0
2023-08-02 09:22:50,29380.7,29380.98,29423.5,29424.0,29428.0,29428.5
2023-08-02 09:23:00,29385.82,29387.64,29426.5,29427.0,29431.0,29432.0
2023-08-02 09:23:11,29409.16,29409.99,29445.0,29445.5,29443.0,29443.5
2023-08-02 09:23:22,29408.01,29409.46,29450.0,29450.5,29459.0,29459.5
2023-08-02 09:23:32,29415.87,29417.54,29461.0,29461.5,29464.0,29465.0
2023-08-02 09:23:43,29423.19,29424.44,29466.5,29467.0,29473.0,29473.5
2023-08-02 09:23:54,29418.49,29418.86,29461.5,29462.0,29468.0,29468.5
2023-08-02 09:24:05,29423.35,29425.49,29466.0,29466.5,29473.0,29473.5
2023-08-02 09:24:15,29415.0,29416.57,29457.0,29457.5,29464.0,29464.5
2023-08-02 09:24:26,29416.03,29416.51,29459.5,29460.0,29465.0,29465.5
2023-08-02 09:24:37,29414.03,29414.9,29457.0,29457.5,29461.5,29462.0
2023-08-02 09:24:48,29417.41,29417.99,29457.0,29457.5,29461.5,29462.0
2023-08-02 09:24:58,29415.91,29417.05,29457.0,29457.5,29464.0,29464.5
2023-08-02 09:25:09,29411.73,29413.89,29457.0,29457.5,29462.0,29462.5
2023-08-02 09:25:20,29407.05,29408.39,29453.0,29453.5,29460.5,29461.0
