timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHUSDTUMCBL_bid,Bitget_ETHUSDTUMCBL_ask
2023-08-01 14:44:49,1832.01,1832.16,1833.1,1833.15,1831.91,1831.92
2023-08-01 14:44:59,1832.02,1832.16,1833.1,1833.15,1831.91,1831.92
2023-08-01 14:45:10,1832.5,1832.63,1833.3,1833.35,1832.42,1832.43
2023-08-01 14:45:21,1832.74,1832.98,1833.55,1833.6,1832.47,1832.49
2023-08-01 14:45:32,1833.28,1833.39,1834.35,1834.4,1833.15,1833.16
2023-08-01 14:45:42,1833.16,1833.23,1834.35,1834.4,1833.15,1833.16
2023-08-01 14:45:53,1832.28,1832.47,1833.5,1833.55,1832.45,1832.46
2023-08-01 14:46:05,1831.93,1832.03,1833.25,1833.3,1831.69,1831.7
2023-08-01 14:46:15,1831.63,1831.78,1832.7,1832.75,1831.5,1831.51
2023-08-01 14:46:26,1831.95,1832.04,1832.7,1832.75,1831.52,1831.53
2023-08-01 14:46:38,1831.97,1832.11,1833.15,1833.2,1831.67,1831.68
2023-08-01 14:46:49,1831.84,1831.96,1833.15,1833.2,1831.66,1831.67
2023-08-01 14:46:59,1832.26,1832.47,1833.15,1833.2,1831.83,1831.84
2023-08-01 14:47:11,1832.34,1832.47,1833.15,1833.2,1831.93,1831.94
2023-08-01 14:47:21,1832.19,1832.28,1833.15,1833.2,1831.86,1831.87
2023-08-01 14:47:32,1832.32,1832.4,1833.15,1833.2,1831.73,1831.74
2023-08-01 14:47:42,1832.7,1832.77,1833.45,1833.5,1831.99,1832.0
2023-08-01 14:47:53,1832.65,1832.81,1833.45,1833.5,1832.02,1832.03
2023-08-01 14:48:05,1832.62,1832.72,1833.85,1833.9,1832.35,1832.36
2023-08-01 14:48:16,1832.55,1832.69,1833.85,1833.9,1832.35,1832.36
2023-08-01 14:48:26,1832.44,1832.56,1833.7,1833.75,1832.35,1832.36
2023-08-01 14:48:37,1832.04,1832.16,1833.15,1833.2,1831.81,1831.82
2023-08-01 14:48:47,1832.18,1832.23,1833.2,1833.25,1831.81,1831.82
2023-08-01 14:48:58,1832.7,1832.78,1833.8,1833.85,1832.34,1832.35
2023-08-01 14:49:09,1832.71,1832.8,1833.8,1833.85,1832.34,1832.35
2023-08-01 14:49:21,1832.66,1832.79,1833.85,1833.9,1832.34,1832.35
2023-08-01 14:49:31,1833.43,1833.45,1834.4,1834.45,1833.09,1833.1
2023-08-01 14:49:42,1833.25,1833.28,1834.4,1834.45,1833.08,1833.09
2023-08-01 14:49:54,1833.61,1833.71,1834.65,1834.7,1833.3,1833.31
2023-08-01 14:50:05,1833.46,1833.54,1834.65,1834.7,1833.29,1833.3
2023-08-01 14:50:16,1833.72,1833.78,1834.65,1834.7,1833.32,1833.33
2023-08-01 14:50:26,1834.66,1834.79,1835.85,1835.9,1834.33,1834.34
2023-08-01 14:50:37,1834.69,1834.93,1835.85,1835.9,1834.26,1834.27
2023-08-01 14:50:48,1834.69,1834.82,1835.85,1835.9,1834.26,1834.27
