timestamp,Bybit_XRPUSDC_bid,Bybit_XRPUSDC_ask,Bitget_XRPUSDTUMCBL_bid,Bitget_XRPUSDTUMCBL_ask
2023-08-10 20:04:52,0.6328,0.6331,0.63322,0.63327
2023-08-10 20:05:08,0.6329,0.6331,0.63324,0.63325
2023-08-10 20:05:24,0.6328,0.6329,0.6331,0.63319
2023-08-10 20:05:39,0.6326,0.6328,0.63296,0.63301
2023-08-10 20:05:56,0.6324,0.6326,0.6327,0.63275
2023-08-10 20:06:11,0.6324,0.6326,0.63276,0.63281
2023-08-10 20:06:28,0.6324,0.6326,0.63274,0.63279
2023-08-10 20:06:43,0.6325,0.6327,0.6329,0.63296
2023-08-10 20:07:00,0.6322,0.6324,0.63253,0.63258
2023-08-10 20:07:16,0.6322,0.6324,0.63254,0.63259
2023-08-10 20:07:32,0.632,0.6322,0.63236,0.6324
2023-08-10 20:07:47,0.6321,0.6322,0.6324,0.63241
2023-08-10 20:08:03,0.6321,0.6323,0.6324,0.63241
2023-08-10 20:08:18,0.6322,0.6324,0.63251,0.63252
2023-08-10 20:08:34,0.6326,0.6329,0.63296,0.63302
2023-08-10 20:08:49,0.633,0.6332,0.63309,0.6331
2023-08-10 20:09:06,0.6331,0.6333,0.63342,0.63351
2023-08-10 20:09:22,0.633,0.6333,0.63339,0.63346
2023-08-10 20:09:38,0.6332,0.6333,0.63348,0.63355
2023-08-10 20:09:54,0.6326,0.6329,0.63303,0.6331
2023-08-10 20:10:10,0.6329,0.6331,0.63321,0.63322
2023-08-10 20:10:37,0.6328,0.633,0.63317,0.63322
2023-08-10 20:11:08,0.6323,0.6325,0.63265,0.63266
2023-08-10 20:11:24,0.6321,0.6322,0.63235,0.63242
2023-08-10 20:11:46,0.6321,0.6323,0.63238,0.63239
