Date,value
1600747200000,4.90960000
1600761600000,5.76790000
1600776000000,4.66990000
1600790400000,4.48000000
1600804800000,5.31930000
1600819200000,4.91350000
1600833600000,4.11970000
1600848000000,4.21080000
1600862400000,4.10730000
1600876800000,3.72380000
1600891200000,3.53500000
1600905600000,3.73980000
1600920000000,3.83230000
1600934400000,4.31790000
1600948800000,4.14660000
1600963200000,4.18280000
1600977600000,4.64110000
1600992000000,4.53100000
1601006400000,4.57620000
1601020800000,4.37810000
1601035200000,4.70010000
1601049600000,4.71190000
1601064000000,4.71340000
1601078400000,4.53600000
1601092800000,4.68000000
1601107200000,4.56460000
1601121600000,4.47000000
1601136000000,4.62090000
1601150400000,4.52000000
1601164800000,4.57130000
1601179200000,4.37840000
1601193600000,4.29300000
1601208000000,4.42300000
1601222400000,4.39450000
1601236800000,4.64840000
1601251200000,4.46090000
1601265600000,4.40110000
1601280000000,4.34290000
1601294400000,4.42220000
1601308800000,4.34000000
1601323200000,4.20210000
1601337600000,4.24500000
1601352000000,4.23660000
1601366400000,4.25270000
1601380800000,4.07110000
1601395200000,4.04310000
1601409600000,4.13940000
1601424000000,4.10300000
1601438400000,4.03300000
1601452800000,4.05880000
1601467200000,4.27790000
1601481600000,4.32290000
1601496000000,4.32930000
1601510400000,4.19090000
1601524800000,4.32340000
1601539200000,4.38890000
1601553600000,4.20840000
1601568000000,4.14670000
1601582400000,4.15000000
1601596800000,4.15800000
1601611200000,3.93880000
1601625600000,3.75650000
1601640000000,3.87710000
1601654400000,3.84470000
1601668800000,3.91150000
1601683200000,3.98710000
1601697600000,3.92480000
1601712000000,4.03720000
1601726400000,4.02550000
1601740800000,4.11530000
1601755200000,4.01680000
1601769600000,3.93750000
1601784000000,3.97470000
1601798400000,3.88240000
1601812800000,3.90630000
1601827200000,3.99990000
1601841600000,3.96400000
1601856000000,3.99110000
1601870400000,3.92830000
1601884800000,3.91440000
1601899200000,3.97220000
1601913600000,3.99430000
1601928000000,3.98130000
1601942400000,3.85990000
1601956800000,3.72200000
1601971200000,3.61200000
1601985600000,3.75300000
1602000000000,3.56890000
1602014400000,3.54240000
1602028800000,3.37080000
1602043200000,3.40500000
1602057600000,3.26080000
1602072000000,3.30210000
1602086400000,3.36330000
1602100800000,3.44200000
1602115200000,3.45950000
1602129600000,3.39980000
1602144000000,3.44100000
1602158400000,3.84530000
1602172800000,3.78420000
1602187200000,3.91470000
1602201600000,3.86400000
1602216000000,3.90320000
1602230400000,4.15960000
1602244800000,4.21400000
