Date,value
1604494800000,0.17434000
1604495700000,0.17618000
1604496600000,0.17290000
1604497500000,0.16963000
1604498400000,0.17106000
1604499300000,0.17512000
1604500200000,0.17252000
1604501100000,0.17011000
1604502000000,0.16370000
1604502900000,0.16060000
1604503800000,0.15523000
1604504700000,0.15487000
1604505600000,0.14525000
1604506500000,0.14478000
1604507400000,0.15026000
1604508300000,0.14710000
1604509200000,0.15203000
1604510100000,0.14906000
1604511000000,0.15735000
1604511900000,0.15800000
1604512800000,0.16090000
1604513700000,0.15944000
1604514600000,0.15578000
1604515500000,0.15666000
1604516400000,0.15414000
1604517300000,0.15700000
1604518200000,0.15413000
1604519100000,0.15649000
1604520000000,0.15555000
1604520900000,0.15697000
1604521800000,0.15715000
1604522700000,0.15601000
1604523600000,0.15134000
1604524500000,0.15433000
1604525400000,0.15126000
1604526300000,0.15149000
1604527200000,0.15200000
1604528100000,0.15288000
1604529000000,0.15330000
1604529900000,0.15194000
1604530800000,0.15052000
1604531700000,0.14770000
1604532600000,0.14344000
1604533500000,0.14583000
1604534400000,0.14252000
1604535300000,0.14409000
1604536200000,0.14750000
1604537100000,0.14807000
1604538000000,0.14740000
1604538900000,0.15064000
1604539800000,0.14526000
1604540700000,0.14521000
1604541600000,0.14350000
1604542500000,0.14233000
1604543400000,0.14560000
1604544300000,0.14500000
1604545200000,0.14502000
1604546100000,0.14252000
1604547000000,0.13668000
1604547900000,0.13880000
1604548800000,0.13998000
1604549700000,0.13509000
1604550600000,0.14000000
1604551500000,0.14094000
1604552400000,0.14140000
1604553300000,0.13900000
1604554200000,0.13512000
1604555100000,0.13375000
1604556000000,0.13740000
1604556900000,0.13681000
1604557800000,0.13400000
1604558700000,0.13331000
1604559600000,0.13028000
1604560500000,0.12882000
1604561400000,0.13058000
1604562300000,0.13323000
1604563200000,0.12901000
1604564100000,0.12845000
1604565000000,0.12674000
1604565900000,0.13079000
1604566800000,0.13372000
1604567700000,0.13164000
1604568600000,0.13030000
1604569500000,0.12904000
1604570400000,0.12750000
1604571300000,0.13000000
1604572200000,0.13868000
1604573100000,0.14407000
1604574000000,0.13957000
1604574900000,0.13894000
1604575800000,0.13521000
1604576700000,0.13600000
1604577600000,0.13422000
1604578500000,0.13614000
1604579400000,0.13461000
1604580300000,0.13069000
1604581200000,0.12955000
1604582100000,0.13203000
1604583000000,0.12736000
1604583900000,0.12940000
1604584800000,0.13100000
1604585700000,0.13500000
1604586600000,0.13410000
1604587500000,0.13180000
1604588400000,0.13556000
1604589300000,0.13973000
1604590200000,0.13820000
1604591100000,0.13400000
1604592000000,0.13795000
1604592900000,0.13900000
1604593800000,0.14051000
1604594700000,0.13993000
1604595600000,0.14217000
1604596500000,0.14579000
1604597400000,0.14118000
1604598300000,0.14086000
1604599200000,0.14517000
1604600100000,0.14389000
1604601000000,0.14340000
1604601900000,0.14002000
1604602800000,0.13904000
1604603700000,0.13760000
1604604600000,0.13640000
1604605500000,0.13791000
1604606400000,0.14017000
1604607300000,0.14078000
1604608200000,0.13893000
1604609100000,0.14405000
1604610000000,0.14420000
1604610900000,0.14345000
1604611800000,0.14439000
1604612700000,0.14404000
1604613600000,0.14103000
1604614500000,0.13800000
1604615400000,0.13918000
1604616300000,0.13692000
1604617200000,0.13557000
1604618100000,0.13781000
1604619000000,0.13618000
1604619900000,0.13450000
1604620800000,0.13317000
1604621700000,0.13610000
1604622600000,0.13660000
1604623500000,0.13481000
1604624400000,0.13500000
1604625300000,0.13548000
1604626200000,0.13658000
1604627100000,0.12961000
1604628000000,0.12603000
1604628900000,0.12699000
1604629800000,0.12632000
1604630700000,0.12720000
1604631600000,0.12878000
1604632500000,0.12905000
1604633400000,0.12843000
1604634300000,0.12829000
1604635200000,0.13300000
1604636100000,0.13626000
1604637000000,0.13434000
1604637900000,0.13434000
1604638800000,0.13413000
1604639700000,0.13527000
1604640600000,0.13500000
1604641500000,0.13445000
1604642400000,0.13238000
1604643300000,0.12661000
