Date,value
1589241600000,0.01497000
1589245200000,0.01500000
1589248800000,0.01503000
1589252400000,0.01513000
1589256000000,0.01521000
1589259600000,0.01540000
1589263200000,0.01536000
1589266800000,0.01543000
1589270400000,0.01591000
1589274000000,0.01586000
1589277600000,0.01597000
1589281200000,0.01620000
1589284800000,0.01602000
1589288400000,0.01597000
1589292000000,0.01598000
1589295600000,0.01599000
1589299200000,0.01594000
1589302800000,0.01602000
1589306400000,0.01684000
1589310000000,0.01739000
1589313600000,0.01756000
1589317200000,0.01730000
1589320800000,0.01737000
1589324400000,0.01727000
1589328000000,0.01766000
1589331600000,0.01771000
1589335200000,0.01791000
1589338800000,0.01771000
1589342400000,0.01756000
1589346000000,0.01738000
1589349600000,0.01742000
1589353200000,0.01734000
1589356800000,0.01763000
1589360400000,0.01791000
1589364000000,0.01778000
1589367600000,0.01756000
1589371200000,0.01768000
1589374800000,0.01808000
1589378400000,0.01887000
1589382000000,0.01911000
1589385600000,0.01919000
1589389200000,0.01971000
1589392800000,0.01928000
1589396400000,0.01949000
1589400000000,0.01951000
1589403600000,0.01965000
1589407200000,0.02004000
1589410800000,0.02030000
1589414400000,0.02023000
1589418000000,0.02025000
1589421600000,0.02061000
1589425200000,0.02030000
1589428800000,0.01983000
1589432400000,0.02043000
1589436000000,0.01997000
1589439600000,0.02031000
1589443200000,0.02144000
1589446800000,0.02142000
1589450400000,0.02087000
1589454000000,0.02114000
1589457600000,0.02113000
1589461200000,0.02100000
1589464800000,0.02107000
1589468400000,0.02073000
1589472000000,0.02055000
1589475600000,0.02066000
1589479200000,0.02045000
1589482800000,0.02022000
1589486400000,0.02037000
1589490000000,0.02014000
1589493600000,0.02027000
1589497200000,0.02014000
1589500800000,0.02007000
1589504400000,0.01999000
1589508000000,0.01973000
1589511600000,0.01980000
1589515200000,0.01974000
1589518800000,0.01994000
1589522400000,0.02021000
1589526000000,0.02017000
1589529600000,0.02019000
1589533200000,0.02015000
1589536800000,0.02046000
1589540400000,0.02067000
1589544000000,0.02044000
1589547600000,0.02023000
1589551200000,0.02042000
1589554800000,0.02000000
1589558400000,0.01988000
1589562000000,0.01979000
1589565600000,0.02005000
1589569200000,0.01942000
1589572800000,0.01901000
1589576400000,0.01946000
1589580000000,0.01946000
1589583600000,0.01919000
1589587200000,0.01910000
1589590800000,0.01906000
1589594400000,0.01906000
1589598000000,0.01936000
1589601600000,0.01930000
1589605200000,0.01907000
1589608800000,0.01914000
1589612400000,0.01895000
1589616000000,0.01921000
1589619600000,0.01928000
1589623200000,0.01972000
1589626800000,0.01958000
1589630400000,0.01983000
1589634000000,0.01966000
1589637600000,0.01964000
1589641200000,0.01999000
1589644800000,0.02048000
1589648400000,0.02015000
1589652000000,0.01975000
1589655600000,0.02021000
1589659200000,0.02009000
1589662800000,0.02026000
1589666400000,0.02023000
1589670000000,0.01998000
1589673600000,0.02002000
1589677200000,0.02008000
1589680800000,0.02010000
1589684400000,0.02020000
1589688000000,0.02011000
1589691600000,0.02012000
1589695200000,0.02052000
1589698800000,0.02045000
1589702400000,0.02031000
1589706000000,0.02080000
1589709600000,0.02068000
1589713200000,0.02068000
1589716800000,0.02069000
1589720400000,0.02064000
1589724000000,0.02076000
1589727600000,0.02067000
1589731200000,0.02038000
1589734800000,0.02022000
1589738400000,0.02030000
1589742000000,0.02034000
1589745600000,0.02029000
1589749200000,0.02042000
1589752800000,0.02032000
1589756400000,0.02025000
1589760000000,0.02058000
1589763600000,0.02066000
1589767200000,0.02062000
1589770800000,0.02064000
1589774400000,0.02073000
1589778000000,0.02080000
1589781600000,0.02082000
1589785200000,0.02074000
1589788800000,0.02069000
1589792400000,0.02073000
1589796000000,0.02083000
1589799600000,0.02087000
1589803200000,0.02083000
1589806800000,0.02074000
1589810400000,0.02073000
1589814000000,0.02072000
1589817600000,0.02072000
1589821200000,0.02054000
1589824800000,0.02057000
1589828400000,0.02051000
1589832000000,0.02053000
1589835600000,0.02047000
1589839200000,0.02067000
1589842800000,0.02064000
1589846400000,0.02053000
1589850000000,0.02090000
1589853600000,0.02075000
1589857200000,0.02049000
1589860800000,0.02044000
1589864400000,0.02057000
1589868000000,0.02100000
1589871600000,0.02171000
1589875200000,0.02197000
1589878800000,0.02239000
1589882400000,0.02226000
1589886000000,0.02228000
1589889600000,0.02221000
1589893200000,0.02234000
1589896800000,0.02233000
1589900400000,0.02241000
1589904000000,0.02234000
1589907600000,0.02240000
1589911200000,0.02256000
1589914800000,0.02238000
1589918400000,0.02230000
1589922000000,0.02215000
1589925600000,0.02222000
1589929200000,0.02226000
1589932800000,0.02212000
1589936400000,0.02206000
1589940000000,0.02188000
1589943600000,0.02202000
1589947200000,0.02204000
1589950800000,0.02197000
1589954400000,0.02185000
1589958000000,0.02235000
1589961600000,0.02208000
1589965200000,0.02198000
1589968800000,0.02191000
1589972400000,0.02180000
1589976000000,0.02183000
1589979600000,0.02200000
1589983200000,0.02200000
1589986800000,0.02024000
1589990400000,0.02075000
1589994000000,0.02100000
1589997600000,0.02114000
1590001200000,0.02123000
1590004800000,0.02119000
1590008400000,0.02109000
1590012000000,0.02102000
1590015600000,0.02084000
1590019200000,0.02093000
1590022800000,0.02062000
1590026400000,0.02043000
1590030000000,0.02048000
1590033600000,0.02069000
1590037200000,0.02079000
1590040800000,0.02080000
1590044400000,0.02074000
1590048000000,0.02039000
1590051600000,0.01987000
1590055200000,0.02007000
1590058800000,0.02020000
1590062400000,0.02012000
1590066000000,0.01980000
1590069600000,0.01936000
1590073200000,0.01928000
1590076800000,0.01951000
1590080400000,0.01904000
1590084000000,0.01843000
1590087600000,0.01950000
1590091200000,0.01939000
1590094800000,0.01932000
1590098400000,0.01950000
1590102000000,0.01919000
1590105600000,0.01905000
1590109200000,0.01940000
1590112800000,0.01954000
1590116400000,0.01942000
1590120000000,0.01936000
1590123600000,0.01957000
1590127200000,0.01981000
1590130800000,0.02005000
1590134400000,0.02000000
1590138000000,0.02014000
1590141600000,0.02035000
1590145200000,0.02074000
1590148800000,0.02092000
