Date,value
1597125600000,3.16550000
1597126500000,3.13600000
1597127400000,2.96650000
1597128300000,2.95150000
1597129200000,3.03100000
1597130100000,3.03450000
1597131000000,2.90040000
1597131900000,2.92240000
1597132800000,2.96140000
1597133700000,2.92780000
1597134600000,2.96700000
1597135500000,2.96000000
1597136400000,2.93830000
1597137300000,2.94020000
1597138200000,2.94070000
1597139100000,2.85430000
1597140000000,2.90000000
1597140900000,2.86080000
1597141800000,2.88550000
1597142700000,2.89760000
1597143600000,2.95600000
1597144500000,2.97470000
1597145400000,3.05020000
1597146300000,3.04970000
1597147200000,3.22180000
1597148100000,3.24980000
1597149000000,3.28960000
1597149900000,3.11110000
1597150800000,2.92000000
1597151700000,2.97200000
1597152600000,3.14170000
1597153500000,3.27680000
1597154400000,3.39990000
1597155300000,3.14290000
1597156200000,3.29960000
1597157100000,3.24990000
1597158000000,3.29230000
1597158900000,3.20610000
1597159800000,3.23250000
1597160700000,3.19000000
1597161600000,3.14290000
1597162500000,3.28000000
1597163400000,3.22610000
1597164300000,3.24750000
1597165200000,3.28000000
1597166100000,3.36600000
1597167000000,3.31000000
1597167900000,3.29780000
1597168800000,3.21000000
1597169700000,3.25530000
1597170600000,3.26740000
1597171500000,3.26760000
1597172400000,3.26470000
1597173300000,3.19380000
1597174200000,3.17090000
1597175100000,3.18860000
1597176000000,3.16230000
1597176900000,3.06160000
1597177800000,3.07000000
1597178700000,3.07740000
1597179600000,3.11540000
1597180500000,3.08630000
1597181400000,3.22610000
1597182300000,3.21840000
1597183200000,3.16920000
1597184100000,3.19370000
1597185000000,3.18150000
1597185900000,3.20610000
1597186800000,3.22260000
1597187700000,3.25000000
1597188600000,3.26760000
1597189500000,3.29850000
1597190400000,3.18460000
1597191300000,3.17490000
1597192200000,3.14160000
1597193100000,3.11270000
1597194000000,3.17090000
1597194900000,3.21210000
1597195800000,3.31990000
1597196700000,3.23200000
1597197600000,3.25530000
1597198500000,3.21340000
1597199400000,3.19840000
1597200300000,3.13170000
1597201200000,3.13000000
1597202100000,3.12130000
1597203000000,3.20600000
1597203900000,3.28020000
1597204800000,3.20430000
1597205700000,3.17540000
1597206600000,3.21830000
1597207500000,3.26110000
1597208400000,3.22960000
1597209300000,3.19100000
1597210200000,3.19440000
1597211100000,3.22960000
1597212000000,3.15000000
1597212900000,3.16280000
1597213800000,3.21440000
1597214700000,3.25380000
1597215600000,3.23800000
1597216500000,3.27380000
1597217400000,3.23810000
1597218300000,3.36610000
1597219200000,3.39900000
1597220100000,3.39850000
1597221000000,3.45730000
1597221900000,3.45030000
1597222800000,3.48920000
1597223700000,3.58010000
1597224600000,3.62290000
1597225500000,3.66690000
1597226400000,3.66000000
1597227300000,3.59710000
1597228200000,3.90000000
1597229100000,3.90490000
1597230000000,3.92320000
1597230900000,3.76000000
1597231800000,3.70000000
1597232700000,3.68420000
1597233600000,3.70510000
1597234500000,3.71120000
1597235400000,3.72990000
1597236300000,3.67550000
1597237200000,3.73000000
1597238100000,3.76820000
1597239000000,3.77020000
1597239900000,3.74500000
1597240800000,3.78000000
1597241700000,3.86930000
1597242600000,3.77890000
1597243500000,3.81000000
1597244400000,3.75180000
1597245300000,3.71720000
1597246200000,3.71500000
1597247100000,3.76780000
1597248000000,3.69340000
1597248900000,3.71610000
1597249800000,3.71390000
1597250700000,3.75690000
1597251600000,3.70800000
1597252500000,3.66050000
1597253400000,3.71270000
1597254300000,3.74460000
1597255200000,3.81510000
1597256100000,3.80000000
1597257000000,3.74630000
1597257900000,3.70180000
1597258800000,3.70280000
1597259700000,3.64180000
1597260600000,3.67000000
1597261500000,3.67880000
1597262400000,3.68420000
1597263300000,3.73560000
1597264200000,3.77410000
1597265100000,3.71420000
1597266000000,3.70520000
1597266900000,3.73310000
1597267800000,3.72640000
1597268700000,3.72070000
1597269600000,3.81310000
1597270500000,3.72540000
1597271400000,3.71000000
1597272300000,3.69300000
1597273200000,3.73570000
1597274100000,3.74690000
1597275000000,3.74290000
1597275900000,3.75580000
1597276800000,3.80000000
1597277700000,3.83860000
1597278600000,3.78390000
1597279500000,3.77030000
1597280400000,3.73810000
1597281300000,3.72120000
1597282200000,3.70890000
1597283100000,3.76010000
1597284000000,3.71990000
1597284900000,3.70840000
1597285800000,3.60610000
1597286700000,3.64570000
1597287600000,3.64710000
1597288500000,3.66770000
1597289400000,3.74000000
1597290300000,3.75930000
1597291200000,3.87740000
1597292100000,3.86210000
1597293000000,3.76810000
1597293900000,3.68220000
1597294800000,3.71000000
1597295700000,3.73460000
1597296600000,3.83580000
1597297500000,3.74580000
1597298400000,3.74300000
1597299300000,3.77160000
1597300200000,3.85000000
1597301100000,3.89970000
1597302000000,3.90000000
1597302900000,3.90270000
1597303800000,4.10200000
1597304700000,4.07850000
1597305600000,3.95330000
1597306500000,3.93000000
1597307400000,3.67200000
1597308300000,3.73300000
1597309200000,3.63860000
1597310100000,3.68400000
1597311000000,3.87330000
1597311900000,3.83870000
1597312800000,3.87000000
1597313700000,3.91990000
1597314600000,3.80000000
1597315500000,3.87490000
1597316400000,3.96600000
1597317300000,3.86360000
1597318200000,3.81020000
1597319100000,3.87000000
1597320000000,3.86650000
1597320900000,3.85000000
1597321800000,3.82000000
1597322700000,3.89700000
1597323600000,3.93370000
1597324500000,3.92950000
1597325400000,3.96990000
1597326300000,3.94530000
1597327200000,4.00490000
1597328100000,4.02000000
1597329000000,3.95810000
1597329900000,3.94160000
1597330800000,3.92030000
1597331700000,3.93430000
1597332600000,3.86320000
1597333500000,3.80650000
1597334400000,3.84980000
1597335300000,3.79670000
1597336200000,3.88160000
1597337100000,3.90190000
1597338000000,3.85050000
1597338900000,3.94140000
1597339800000,3.83040000
1597340700000,3.81180000
1597341600000,3.84300000
1597342500000,3.84310000
1597343400000,3.83680000
1597344300000,3.83000000
1597345200000,3.83990000
1597346100000,3.81390000
1597347000000,3.84750000
1597347900000,3.85660000
1597348800000,3.85230000
1597349700000,3.83880000
1597350600000,3.71200000
1597351500000,3.70000000
1597352400000,3.71200000
1597353300000,3.65870000
1597354200000,3.65240000
1597355100000,3.63560000
1597356000000,3.60000000
1597356900000,3.55260000
1597357800000,3.63070000
1597358700000,3.75030000
1597359600000,3.76700000
1597360500000,3.75080000
1597361400000,3.77530000
1597362300000,3.73000000
1597363200000,3.72040000
1597364100000,3.73260000
1597365000000,3.65800000
1597365900000,3.63830000
1597366800000,3.62340000
1597367700000,3.62220000
1597368600000,3.62350000
1597369500000,3.63480000
1597370400000,3.61600000
1597371300000,3.60110000
1597372200000,3.58370000
1597373100000,3.61180000
1597374000000,3.62900000
1597374900000,3.61850000
1597375800000,3.63690000
1597376700000,3.62500000
1597377600000,3.63800000
1597378500000,3.62140000
1597379400000,3.61840000
1597380300000,3.66440000
1597381200000,3.66480000
1597382100000,3.75150000
1597383000000,3.68000000
1597383900000,3.67590000
1597384800000,3.65000000
1597385700000,3.65040000
1597386600000,3.67270000
1597387500000,3.66160000
1597388400000,3.65010000
1597389300000,3.65390000
1597390200000,3.60760000
1597391100000,3.55000000
1597392000000,3.53400000
1597392900000,3.50010000
1597393800000,3.47330000
1597394700000,3.52500000
1597395600000,3.48540000
1597396500000,3.46750000
1597397400000,3.45000000
1597398300000,3.51110000
1597399200000,3.57700000
1597400100000,3.60330000
1597401000000,3.60290000
1597401900000,3.69300000
1597402800000,3.73970000
