Date,value
1597125600000,2.95150000
1597129200000,2.92240000
1597132800000,2.96000000
1597136400000,2.85430000
1597140000000,2.89760000
1597143600000,3.04970000
1597147200000,3.11110000
1597150800000,3.27680000
1597154400000,3.24990000
1597158000000,3.19000000
1597161600000,3.24750000
1597165200000,3.29780000
1597168800000,3.26760000
1597172400000,3.18860000
1597176000000,3.07740000
1597179600000,3.21840000
1597183200000,3.20610000
1597186800000,3.29850000
1597190400000,3.11270000
1597194000000,3.23200000
1597197600000,3.13170000
1597201200000,3.28020000
1597204800000,3.26110000
1597208400000,3.22960000
1597212000000,3.25380000
1597215600000,3.36610000
1597219200000,3.45030000
1597222800000,3.66690000
1597226400000,3.90490000
1597230000000,3.68420000
1597233600000,3.67550000
1597237200000,3.74500000
1597240800000,3.81000000
1597244400000,3.76780000
1597248000000,3.75690000
1597251600000,3.74460000
1597255200000,3.70180000
1597258800000,3.67880000
1597262400000,3.71420000
1597266000000,3.72070000
1597269600000,3.69300000
1597273200000,3.75580000
1597276800000,3.77030000
1597280400000,3.76010000
1597284000000,3.64570000
1597287600000,3.75930000
1597291200000,3.68220000
1597294800000,3.74580000
1597298400000,3.89970000
1597302000000,4.07850000
1597305600000,3.73300000
1597309200000,3.83870000
1597312800000,3.87490000
1597316400000,3.87000000
1597320000000,3.89700000
1597323600000,3.94530000
1597327200000,3.94160000
1597330800000,3.80650000
1597334400000,3.90190000
1597338000000,3.81180000
1597341600000,3.83000000
1597345200000,3.85660000
1597348800000,3.70000000
1597352400000,3.63560000
1597356000000,3.75030000
1597359600000,3.73000000
1597363200000,3.63830000
1597366800000,3.63480000
1597370400000,3.61180000
1597374000000,3.62500000
1597377600000,3.66440000
1597381200000,3.67590000
1597384800000,3.66160000
1597388400000,3.55000000
1597392000000,3.52500000
1597395600000,3.51110000
1597399200000,3.69300000
1597402800000,3.71730000
1597406400000,3.56000000
1597410000000,3.57110000
1597413600000,3.56150000
1597417200000,3.57880000
1597420800000,3.50000000
1597424400000,3.40310000
1597428000000,3.38410000
1597431600000,3.37920000
1597435200000,3.42500000
1597438800000,3.45280000
1597442400000,3.36770000
1597446000000,3.40990000
1597449600000,3.27560000
1597453200000,3.27820000
1597456800000,3.31550000
1597460400000,3.32890000
1597464000000,3.22790000
1597467600000,3.41990000
1597471200000,3.45700000
1597474800000,3.52150000
1597478400000,3.54460000
1597482000000,3.68860000
1597485600000,3.48520000
1597489200000,3.45000000
1597492800000,3.43300000
1597496400000,3.40440000
1597500000000,3.44700000
1597503600000,3.43240000
1597507200000,3.41540000
1597510800000,3.39490000
1597514400000,3.37640000
1597518000000,3.36840000
1597521600000,3.37040000
1597525200000,3.24630000
1597528800000,3.25580000
1597532400000,3.17300000
1597536000000,3.24140000
1597539600000,3.20460000
1597543200000,3.14630000
1597546800000,3.19550000
1597550400000,3.24360000
1597554000000,3.31780000
1597557600000,3.43210000
1597561200000,3.44010000
1597564800000,3.35300000
1597568400000,3.39570000
1597572000000,3.39550000
1597575600000,3.41930000
1597579200000,3.37530000
1597582800000,3.35940000
1597586400000,3.39260000
1597590000000,3.38720000
1597593600000,3.42500000
1597597200000,3.44690000
1597600800000,3.45800000
1597604400000,3.40710000
1597608000000,3.42540000
