,o
0,107.875091351513
1,108.186595350831
2,108.375440374593
3,108.330101557065
4,108.306523350413
5,108.470120988845
6,108.060643756609
7,107.886054478768
8,107.96986373362
9,108.057872283455
10,107.492086956315
11,106.941704398253
12,106.944705905907
13,107.253865502168
14,107.602091702099
15,107.638454231127
16,107.4957547067
17,107.496672196209
18,107.492951275609
19,106.944855725565
20,105.473266595431
21,105.414692034458
22,105.541438886419
23,97.6647383354712
24,77.8967300544159
25,76.3916181721304
26,76.2236956342779
27,74.4876761058168
28,73.5352622913663
29,73.4367151230559
30,70.5716084527809
31,65.966036261798
32,64.9653087940345
33,64.6981935966972
34,63.7202860451797
35,61.5074853350384
36,61.7918190751874
37,61.7852671053227
38,61.8262556041414
39,60.092447721505
40,59.8636149102488
41,59.2568725963955
42,58.7901749122414
43,57.5771261980278
44,57.3722733194916
45,57.2807623812896
46,57.2775117484658
47,56.7674115080705
48,56.2481701436812
49,56.193145973192
50,56.2324603642802
51,55.4390657081816
52,55.1719785172438
53,55.0159011182788
54,54.6427507347912
55,54.5551223410894
56,54.4096765837804
57,53.9108441809388
58,53.4019019263255
59,53.3534709877451
60,53.327583454168
61,53.0621459559147
62,52.6356259326042
63,52.511313236976
64,52.1558690446073
65,51.4736669148026
66,51.482051547023
67,51.6470109619927
68,52.9935913653612
69,54.3769410173208
70,52.6919884151168
71,48.8245791907269
72,48.657217308753
73,48.7233246921627
74,49.4504265916954
75,49.7275441387644
76,49.3760769151312
77,49.5423156509624
78,49.4548434232818
79,49.164574866996
80,48.1359918990282
81,47.9566535565682
82,42.1420051871481
83,42.3819305601474
84,42.6537461210468
85,42.392264851516
86,41.1292306035437
87,40.8798885839336
88,40.7116761983705
89,40.6420437925643
90,40.8242513247501
91,41.1733760575132
92,41.1384608006656
93,40.2670623993649
94,39.9249153820338
95,39.8623327034427
96,39.7685703128959
97,39.2308761962443
98,39.4320238297025
99,39.1919652222551
100,38.8156798383736
101,38.561225985
102,38.518348417173
103,38.4390887674153
104,38.4874620544504
105,38.1983285780302
106,38.3563417872932
107,40.7504195748657
108,41.0583507566138
109,41.1889605513787
110,41.2028082016719
111,41.1926619222305
112,41.3808912997087
113,41.4962948197895
