
存款金額,"100,000
								以下","100,000
								至
								499,999","500,000
								或以上"
1 天,0.62500%,0.62500%,0.62500%
7 天,0.62500%,0.62500%,0.62500%
14 天,0.62500%,0.62500%,0.62500%
1 個月,0.63500%,0.63500%,0.63500%
2 個月,0.63500%,0.63500%,0.63500%
3 個月,0.63500%,0.63500%,0.63500%
6 個月,0.65000%,0.65000%,0.65000%
9 個月,0.70000%,0.70000%,0.70000%
12 個月,0.80000%,0.80000%,0.80000%
15 個月,0.80000%,0.80000%,0.80000%
18 個月,0.80000%,0.80000%,0.80000%
24 個月,0.80000%,0.80000%,0.80000%
36 個月,0.80000%,0.80000%,0.80000%
48 個月,0.82500%,0.82500%,0.82500%
60 個月,0.87500%,0.87500%,0.87500%
