timestamp,Binance_BTCTUSD_bid,Binance_BTCTUSD_ask,Deribit_BTCPERPETUAL_bid,Deribit_BTCPERPETUAL_ask,Bitget_BTCUSDTUMCBL_bid,Bitget_BTCUSDTUMCBL_ask
2023-08-06 11:49:43,29073.03,29073.4,29058.5,29059.0,29057.5,29058.0
2023-08-06 11:49:59,29073.75,29073.98,29058.5,29059.0,29057.5,29058.0
2023-08-06 11:50:14,29076.1,29076.38,29058.5,29059.0,29057.5,29058.0
2023-08-06 11:50:30,29074.84,29075.29,29058.5,29059.0,29057.5,29058.0
2023-08-06 11:50:46,29077.01,29077.58,29058.5,29059.0,29057.5,29058.0
2023-08-06 11:51:02,29072.35,29073.03,29058.5,29059.0,29057.5,29058.0
2023-08-06 11:51:18,29074.11,29074.27,29058.5,29059.0,29057.5,29058.0
2023-08-06 11:51:33,29074.91,29075.69,29058.5,29059.0,29057.5,29058.0
2023-08-06 11:51:49,29077.43,29077.75,29058.5,29059.0,29057.5,29058.0
2023-08-06 11:52:05,29077.48,29078.27,29058.5,29059.0,29060.5,29061.0
2023-08-06 11:52:21,29077.72,29078.06,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:52:37,29078.03,29078.97,29058.5,29059.0,29062.5,29063.0
2023-08-06 11:52:53,29077.11,29077.13,29058.5,29059.0,29062.5,29063.0
2023-08-06 11:53:08,29077.32,29077.57,29058.5,29059.0,29062.5,29063.0
2023-08-06 11:53:24,29077.41,29078.13,29058.5,29059.0,29063.0,29063.5
2023-08-06 11:53:40,29076.97,29077.52,29058.5,29059.0,29063.0,29063.5
2023-08-06 11:53:56,29076.64,29076.65,29058.5,29059.0,29063.0,29063.5
2023-08-06 11:54:12,29076.65,29077.4,29058.5,29059.0,29063.0,29063.5
2023-08-06 11:54:27,29075.86,29075.96,29058.5,29059.0,29063.0,29063.5
2023-08-06 11:54:43,29076.02,29076.66,29058.5,29059.0,29063.0,29063.5
2023-08-06 11:54:59,29075.02,29075.62,29058.5,29059.0,29063.0,29063.5
2023-08-06 11:55:15,29077.26,29077.86,29058.5,29059.0,29063.0,29063.5
2023-08-06 11:55:31,29077.07,29077.35,29058.5,29059.0,29063.0,29063.5
2023-08-06 11:55:46,29074.71,29075.66,29058.5,29059.0,29063.0,29063.5
2023-08-06 11:56:02,29073.08,29073.33,29058.5,29059.0,29061.5,29062.0
2023-08-06 11:56:18,29073.34,29074.14,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:56:34,29071.57,29071.58,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:56:50,29072.38,29072.39,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:57:05,29072.46,29072.61,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:57:21,29071.75,29072.0,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:57:37,29072.39,29072.83,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:57:53,29072.0,29072.64,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:58:09,29072.35,29072.9,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:58:24,29072.89,29073.42,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:58:40,29072.78,29072.98,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:58:56,29072.23,29072.87,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:59:12,29073.07,29073.52,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:59:28,29072.69,29072.97,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:59:43,29071.35,29071.41,29058.5,29059.0,29061.0,29061.5
2023-08-06 11:59:59,29070.61,29071.0,29058.5,29059.0,29061.0,29061.5
2023-08-06 12:00:15,29071.17,29071.5,29058.5,29059.0,29060.5,29061.0
2023-08-06 12:00:31,29070.82,29071.59,29058.5,29059.0,29060.5,29061.0
2023-08-06 12:00:47,29070.82,29071.36,29059.0,29059.5,29060.5,29061.0
2023-08-06 12:01:03,29069.07,29069.08,29059.5,29060.0,29060.5,29061.0
2023-08-06 12:01:18,29069.0,29069.38,29059.5,29060.0,29060.0,29060.5
2023-08-06 12:01:34,29068.97,29069.52,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:01:50,29069.27,29069.85,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:02:06,29068.78,29068.9,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:02:22,29068.6,29068.99,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:02:37,29068.78,29068.96,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:02:53,29068.7,29069.35,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:03:09,29068.94,29069.44,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:03:25,29069.43,29069.88,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:03:41,29069.6,29069.71,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:03:56,29069.58,29069.98,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:04:12,29069.5,29070.04,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:04:28,29069.07,29069.39,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:04:44,29068.43,29068.73,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:05:00,29068.3,29068.59,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:05:16,29069.5,29069.99,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:05:31,29070.92,29071.34,29059.5,29060.0,29058.5,29059.0
2023-08-06 12:05:48,29070.87,29071.31,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:06:05,29069.45,29069.46,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:06:21,29069.34,29069.35,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:06:36,29070.16,29070.21,29059.5,29060.0,29058.5,29059.0
2023-08-06 12:06:52,29069.81,29070.0,29059.5,29060.0,29058.0,29059.0
2023-08-06 12:07:08,29069.7,29070.17,29059.5,29060.0,29058.5,29059.0
2023-08-06 12:07:24,29069.72,29069.81,29059.5,29060.0,29058.5,29059.0
2023-08-06 12:07:40,29068.83,29069.3,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:07:55,29068.87,29068.88,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:08:11,29070.03,29070.4,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:08:28,29066.41,29067.39,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:08:44,29066.89,29067.53,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:09:00,29066.8,29067.54,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:09:15,29066.61,29067.33,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:09:32,29067.62,29068.18,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:09:48,29068.43,29069.29,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:10:04,29068.68,29069.74,29059.5,29060.0,29058.0,29058.5
2023-08-06 12:10:21,29072.76,29074.28,29059.5,29060.0,29057.5,29058.0
2023-08-06 12:10:37,29071.67,29071.92,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:10:56,29072.32,29072.41,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:11:12,29072.15,29072.71,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:11:28,29071.13,29071.59,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:11:45,29072.11,29072.2,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:12:02,29071.57,29071.95,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:12:18,29071.84,29071.92,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:12:35,29071.09,29071.26,29059.5,29060.0,29059.5,29060.0
2023-08-06 12:12:52,29071.62,29071.64,29059.5,29060.0,29059.5,29060.0
