timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHPERPCMCBL_bid,Bitget_ETHPERPCMCBL_ask
2023-07-30 15:25:46,1882.01,1882.2,1883.05,1883.1,1881.41,1881.64
2023-07-30 15:25:52,1882.05,1882.29,1883.05,1883.1,1881.76,1881.82
2023-07-30 15:25:57,1882.04,1882.31,1883.05,1883.1,1881.76,1881.82
2023-07-30 15:26:03,1882.24,1882.39,1883.0,1883.05,1881.76,1881.82
2023-07-30 15:26:09,1882.21,1882.33,1883.0,1883.05,1881.76,1881.82
2023-07-30 15:26:15,1882.09,1882.26,1883.0,1883.05,1881.76,1881.82
2023-07-30 15:26:20,1882.25,1882.39,1883.0,1883.05,1881.8,1881.86
2023-07-30 15:26:26,1882.18,1882.33,1883.0,1883.05,1881.8,1881.86
2023-07-30 15:26:32,1881.73,1881.86,1883.0,1883.05,1881.76,1881.82
2023-07-30 15:26:37,1881.48,1881.71,1883.0,1883.05,1881.76,1881.82
2023-07-30 15:26:43,1881.61,1881.79,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:26:49,1881.67,1881.79,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:26:54,1881.71,1881.87,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:00,1881.67,1881.82,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:06,1881.77,1881.87,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:12,1881.72,1881.87,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:17,1881.72,1881.85,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:23,1881.82,1881.89,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:29,1881.94,1882.07,1882.85,1882.9,1881.76,1881.82
2023-07-30 15:27:34,1881.91,1882.04,1882.85,1882.9,1881.76,1881.82
2023-07-30 15:27:40,1881.89,1882.07,1882.85,1882.9,1881.79,1881.85
2023-07-30 15:27:46,1881.74,1881.86,1882.85,1882.9,1881.79,1881.85
2023-07-30 15:27:52,1881.83,1881.92,1882.85,1882.9,1881.79,1881.85
2023-07-30 15:27:57,1881.96,1881.99,1882.85,1882.9,1881.79,1881.85
2023-07-30 15:28:03,1881.9,1881.99,1882.85,1882.9,1881.79,1881.85
2023-07-30 15:28:09,1881.87,1882.02,1882.75,1882.8,1881.79,1881.85
2023-07-30 15:28:14,1881.85,1882.03,1882.75,1882.8,1881.79,1881.85
2023-07-30 15:28:20,1881.94,1882.09,1882.75,1882.8,1881.79,1881.85
2023-07-30 15:28:26,1881.85,1881.99,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:28:32,1881.88,1882.0,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:28:37,1881.93,1882.03,1882.65,1882.7,1881.79,1881.85
