timestamp,Binance_BTCTUSD_bid,Binance_BTCTUSD_ask,Deribit_BTCPERPETUAL_bid,Deribit_BTCPERPETUAL_ask,Bitget_BTCUSDTUMCBL_bid,Bitget_BTCUSDTUMCBL_ask
2023-08-03 19:41:29,29200.07,29200.92,29222.5,29223.0,29210.0,29210.5
2023-08-03 19:41:40,29199.58,29201.1,29222.5,29223.0,29210.0,29210.5
2023-08-03 19:42:34,29194.63,29195.99,29222.5,29223.0,29222.5,29223.0
2023-08-03 19:42:44,29191.34,29192.16,29216.5,29217.0,29210.5,29211.0
2023-08-03 19:42:55,29191.21,29192.14,29216.5,29217.0,29210.0,29210.5
2023-08-03 19:43:06,29195.65,29196.36,29219.0,29219.5,29212.0,29212.5
2023-08-03 19:43:17,29186.71,29187.53,29212.0,29212.5,29205.5,29206.0
2023-08-03 19:43:28,29187.43,29188.36,29211.0,29211.5,29203.5,29204.0
2023-08-03 19:43:39,29188.59,29189.59,29211.0,29211.5,29204.0,29206.5
2023-08-03 19:43:50,29188.75,29189.11,29211.0,29211.5,29204.0,29207.0
2023-08-03 19:44:00,29181.89,29182.35,29211.0,29211.5,29204.0,29204.5
2023-08-03 19:44:11,29186.82,29188.0,29211.0,29211.5,29204.5,29205.5
2023-08-03 19:44:22,29187.02,29187.67,29211.0,29211.5,29204.5,29205.5
2023-08-03 19:44:32,29185.58,29186.37,29211.0,29211.5,29204.5,29205.0
2023-08-03 19:44:43,29185.94,29186.53,29211.0,29211.5,29204.0,29204.5
2023-08-03 19:44:54,29188.77,29189.74,29211.0,29211.5,29204.5,29205.0
2023-08-03 19:45:05,29189.5,29189.9,29211.0,29211.5,29204.5,29205.0
2023-08-03 19:45:15,29188.32,29188.33,29211.0,29211.5,29204.5,29205.0
2023-08-03 19:45:26,29189.58,29190.55,29211.0,29211.5,29204.5,29205.0
2023-08-03 19:45:37,29191.05,29191.68,29211.0,29211.5,29204.5,29205.0
2023-08-03 19:45:47,29189.4,29189.98,29211.0,29211.5,29204.5,29205.0
2023-08-03 19:45:58,29187.55,29188.29,29211.0,29211.5,29204.5,29205.0
2023-08-03 19:46:09,29187.39,29187.52,29211.0,29211.5,29204.5,29205.0
2023-08-03 19:46:20,29183.35,29184.56,29211.0,29211.5,29204.5,29205.0
2023-08-03 19:46:31,29182.79,29183.04,29204.5,29205.0,29204.5,29205.0
2023-08-03 19:46:42,29187.37,29187.94,29204.5,29205.0,29201.5,29202.0
2023-08-03 19:46:52,29190.01,29191.0,29212.5,29213.0,29204.0,29204.5
2023-08-03 19:47:03,29187.94,29187.99,29212.5,29213.0,29204.0,29204.5
2023-08-03 19:47:14,29186.02,29186.94,29212.5,29213.0,29204.0,29204.5
2023-08-03 19:47:24,29186.56,29187.44,29212.5,29213.0,29204.5,29205.0
2023-08-03 19:47:36,29186.72,29187.12,29212.5,29213.0,29206.5,29207.0
2023-08-03 19:47:47,29193.22,29193.96,29212.5,29213.0,29207.0,29207.5
2023-08-03 19:47:58,29205.02,29205.81,29231.0,29231.5,29218.0,29218.5
2023-08-03 19:48:08,29207.69,29208.9,29231.0,29231.5,29218.0,29218.5
2023-08-03 19:48:19,29210.33,29210.66,29233.0,29233.5,29226.0,29226.5
2023-08-03 19:48:30,29214.32,29215.21,29233.0,29233.5,29226.5,29227.0
2023-08-03 19:48:41,29215.12,29216.27,29233.0,29233.5,29226.5,29227.0
2023-08-03 19:48:51,29217.98,29217.99,29245.0,29245.5,29237.0,29237.5
2023-08-03 19:49:02,29216.62,29217.49,29245.5,29246.0,29236.5,29237.0
2023-08-03 19:49:13,29217.39,29217.95,29245.0,29245.5,29234.5,29235.0
2023-08-03 19:49:24,29213.23,29214.36,29240.0,29240.5,29231.0,29233.0
2023-08-03 19:49:34,29207.28,29208.21,29228.5,29229.0,29226.0,29226.5
2023-08-03 19:49:45,29213.0,29213.99,29235.0,29235.5,29225.5,29226.0
2023-08-03 19:49:56,29212.89,29213.88,29238.5,29239.0,29226.5,29227.0
2023-08-03 19:50:06,29216.43,29217.89,29238.5,29239.0,29226.5,29227.0
2023-08-03 19:50:17,29224.43,29226.51,29246.5,29247.0,29234.5,29235.0
2023-08-03 19:50:28,29221.98,29223.0,29246.5,29247.0,29236.5,29237.0
2023-08-03 19:50:38,29218.6,29219.07,29246.5,29247.0,29235.5,29236.0
2023-08-03 19:50:49,29215.63,29217.0,29246.5,29247.0,29235.5,29236.0
2023-08-03 19:51:00,29213.42,29215.4,29240.5,29241.0,29234.0,29234.5
2023-08-03 19:51:11,29210.99,29212.83,29240.5,29241.0,29231.5,29232.0
2023-08-03 19:51:22,29212.0,29212.58,29238.5,29239.0,29228.5,29229.0
2023-08-03 19:51:33,29209.3,29209.97,29234.5,29235.0,29226.0,29226.5
2023-08-03 19:51:44,29205.22,29206.42,29230.0,29230.5,29225.5,29226.0
2023-08-03 19:51:56,29203.01,29203.81,29228.5,29229.0,29225.5,29226.0
2023-08-03 19:52:08,29204.77,29205.77,29228.5,29229.0,29222.0,29222.5
2023-08-03 19:52:18,29207.16,29207.65,29228.5,29229.0,29225.0,29225.5
2023-08-03 19:52:31,29210.04,29210.35,29239.0,29239.5,29225.0,29225.5
2023-08-03 19:52:42,29211.6,29212.03,29238.5,29239.0,29228.0,29228.5
2023-08-03 19:52:53,29211.03,29211.23,29238.5,29239.0,29228.0,29228.5
2023-08-03 19:53:04,29211.43,29212.37,29238.5,29239.0,29228.0,29228.5
2023-08-03 19:53:14,29206.5,29207.27,29231.5,29232.0,29225.0,29225.5
2023-08-03 19:53:27,29201.01,29201.85,29228.0,29228.5,29221.5,29222.0
2023-08-03 19:53:40,29201.12,29202.16,29227.5,29228.0,29219.0,29219.5
2023-08-03 19:56:34,29227.54,29228.84,29249.5,29250.0,29237.0,29237.5
2023-08-03 19:56:45,29227.61,29228.12,29253.0,29253.5,29237.0,29237.5
2023-08-03 19:56:56,29228.01,29228.62,29253.0,29253.5,29242.0,29242.5
2023-08-03 19:57:07,29226.97,29227.55,29253.0,29253.5,29242.0,29242.5
2023-08-03 19:57:17,29236.22,29237.67,29258.0,29258.5,29247.0,29247.5
