timestamp,Bybit_SOLUSDC_bid,Bybit_SOLUSDC_ask,Bitget_SOLUSDTUMCBL_bid,Bitget_SOLUSDTUMCBL_ask
2023-08-09 12:34:53,24.84,24.87,24.8418,24.8464
2023-08-09 12:35:08,24.84,24.87,24.8379,24.838
2023-08-09 12:35:24,24.84,24.87,24.8409,24.844
2023-08-09 12:35:39,24.84,24.87,24.84,24.8401
2023-08-09 12:35:54,24.82,24.85,24.8208,24.8234
2023-08-09 12:36:09,24.81,24.84,24.8079,24.8115
2023-08-09 12:36:25,24.79,24.82,24.7859,24.7872
2023-08-09 12:36:40,24.79,24.82,24.7919,24.7954
2023-08-09 12:36:55,24.81,24.84,24.8099,24.81
2023-08-09 12:37:10,24.81,24.84,24.8148,24.818
2023-08-09 12:37:25,24.81,24.84,24.8114,24.8144
2023-08-09 12:37:41,24.81,24.83,24.8112,24.8154
2023-08-09 12:37:56,24.81,24.83,24.8049,24.8074
2023-08-09 12:38:11,24.84,24.87,24.8341,24.8374
2023-08-09 12:38:26,24.87,24.88,24.8692,24.8694
2023-08-09 12:38:42,24.87,24.9,24.8792,24.8793
2023-08-09 12:38:57,24.87,24.9,24.8738,24.8739
2023-08-09 12:39:12,24.88,24.9,24.8708,24.8729
2023-08-09 12:39:27,24.87,24.88,24.8588,24.86
2023-08-09 12:39:42,24.87,24.88,24.8528,24.8558
2023-08-09 12:39:58,24.87,24.88,24.8567,24.8568
2023-08-09 12:40:13,24.87,24.88,24.8488,24.8503
2023-08-09 12:40:28,24.85,24.87,24.8469,24.847
2023-08-09 12:40:43,24.86,24.88,24.8559,24.8578
2023-08-09 12:40:58,24.85,24.86,24.8351,24.8354
2023-08-09 12:41:14,24.85,24.87,24.8421,24.8451
2023-08-09 12:41:29,24.85,24.88,24.8498,24.8544
2023-08-09 12:41:44,24.86,24.89,24.8653,24.8654
2023-08-09 12:41:59,24.87,24.89,24.8779,24.8793
2023-08-09 12:42:14,24.88,24.9,24.8729,24.873
2023-08-09 12:42:30,24.86,24.89,24.8573,24.8592
2023-08-09 12:42:45,24.87,24.89,24.867,24.8671
2023-08-09 12:43:00,24.88,24.9,24.8691,24.8727
2023-08-09 12:43:15,24.88,24.9,24.8741,24.8774
2023-08-09 12:43:30,24.88,24.9,24.878,24.8781
2023-08-09 12:43:46,24.87,24.89,24.861,24.8643
2023-08-09 12:44:01,24.86,24.89,24.864,24.8671
2023-08-09 12:44:16,24.88,24.9,24.8753,24.8782
2023-08-09 12:44:31,24.86,24.89,24.855,24.8591
2023-08-09 12:44:46,24.86,24.89,24.856,24.8591
2023-08-09 12:45:02,24.86,24.89,24.855,24.8551
2023-08-09 12:45:17,24.89,24.91,24.8822,24.8864
2023-08-09 12:45:32,24.91,24.92,24.8932,24.8933
2023-08-09 12:45:47,24.9,24.92,24.8967,24.8968
2023-08-09 12:46:02,24.92,24.93,24.8999,24.9
2023-08-09 12:46:18,24.89,24.91,24.8789,24.8808
2023-08-09 12:46:33,24.84,24.88,24.8358,24.8403
2023-08-09 12:46:48,24.88,24.92,24.8819,24.8855
2023-08-09 12:47:03,24.93,24.96,24.9177,24.9183
2023-08-09 12:47:18,24.93,24.96,24.9207,24.9252
2023-08-09 12:47:34,24.92,24.96,24.9291,24.9298
2023-08-09 12:47:49,24.9,24.94,24.8947,24.8993
2023-08-09 12:48:04,24.9,24.93,24.8908,24.8943
2023-08-09 12:48:19,24.89,24.92,24.8792,24.8793
2023-08-09 12:48:34,24.89,24.92,24.876,24.8785
2023-08-09 12:48:50,24.88,24.91,24.8738,24.8762
2023-08-09 12:49:05,24.89,24.92,24.892,24.8963
2023-08-09 12:49:20,24.91,24.93,24.8968,24.9012
2023-08-09 12:49:35,24.91,24.94,24.9029,24.9044
2023-08-09 12:49:50,24.91,24.94,24.9021,24.9022
2023-08-09 12:50:06,24.91,24.94,24.8967,24.9007
2023-08-09 12:50:21,24.9,24.93,24.8997,24.9025
2023-08-09 12:50:36,24.9,24.93,24.8958,24.8981
2023-08-09 12:50:51,24.9,24.93,24.8948,24.8949
2023-08-09 12:51:07,24.91,24.94,24.8999,24.9
2023-08-09 12:51:22,24.91,24.95,24.9197,24.9206
2023-08-09 12:51:37,24.95,24.97,24.9477,24.9479
2023-08-09 12:51:52,24.92,24.95,24.9057,24.9058
2023-08-09 12:52:07,24.92,24.96,24.9207,24.9218
2023-08-09 12:52:23,24.93,24.96,24.9281,24.9312
2023-08-09 12:52:38,24.95,24.98,24.9438,24.9439
2023-08-09 12:52:53,24.94,24.98,24.9467,24.9482
2023-08-09 12:53:08,24.94,24.98,24.9417,24.9463
2023-08-09 12:53:23,24.95,24.98,24.9429,24.9473
2023-08-09 12:53:39,24.95,24.98,24.9481,24.9482
2023-08-09 12:53:54,24.93,24.97,24.9247,24.9248
2023-08-09 12:54:09,24.88,24.92,24.8748,24.8788
2023-08-09 12:54:24,24.91,24.94,24.9139,24.9148
2023-08-09 12:54:39,24.92,24.94,24.9125,24.9126
2023-08-09 12:54:55,24.91,24.94,24.9097,24.9118
2023-08-09 12:55:10,24.91,24.94,24.9151,24.9171
2023-08-09 12:55:25,24.88,24.92,24.8778,24.8779
2023-08-09 12:55:40,24.87,24.89,24.8654,24.8655
2023-08-09 12:55:55,24.86,24.89,24.8612,24.8613
2023-08-09 12:56:11,24.89,24.92,24.8957,24.9003
2023-08-09 12:56:26,24.9,24.93,24.8965,24.8966
2023-08-09 12:56:41,24.9,24.94,24.8968,24.9013
2023-08-09 12:56:56,24.9,24.94,24.9051,24.9082
2023-08-09 12:57:11,24.92,24.95,24.928,24.9322
2023-08-09 12:57:27,24.92,24.95,24.9177,24.9178
2023-08-09 12:57:42,24.92,24.95,24.92,24.9201
2023-08-09 12:57:57,24.93,24.95,24.92,24.9201
2023-08-09 12:58:12,24.95,24.98,24.92,24.9201
2023-08-09 12:58:27,24.94,24.97,24.9367,24.9372
2023-08-09 12:58:43,24.93,24.97,24.9318,24.9319
2023-08-09 12:58:58,24.93,24.97,24.9338,24.9373
2023-08-09 12:59:13,24.95,24.97,24.9441,24.9453
2023-08-09 12:59:28,24.94,24.97,24.9499,24.95
2023-08-09 12:59:43,24.94,24.96,24.9287,24.9288
2023-08-09 12:59:59,24.92,24.95,24.917,24.9209
2023-08-09 13:00:14,24.93,24.96,24.93,24.9338
2023-08-09 13:00:29,24.93,24.96,24.9318,24.9352
2023-08-09 13:00:44,24.94,24.97,24.9361,24.9362
2023-08-09 13:01:00,24.95,24.98,24.9547,24.957
2023-08-09 13:01:15,24.92,24.95,24.9229,24.9253
2023-08-09 13:01:30,24.91,24.94,24.9077,24.9084
2023-08-09 13:01:45,24.86,24.87,24.8493,24.8499
2023-08-09 13:02:01,24.85,24.89,24.8514,24.8515
2023-08-09 13:02:16,24.86,24.89,24.8528,24.8573
2023-08-09 13:02:31,24.85,24.88,24.8493,24.85
2023-08-09 13:02:46,24.85,24.89,24.8499,24.8544
2023-08-09 13:03:01,24.83,24.86,24.8236,24.8274
2023-08-09 13:03:17,24.8,24.83,24.7801,24.7843
2023-08-09 13:03:32,24.77,24.79,24.7649,24.7693
2023-08-09 13:03:47,24.79,24.81,24.7812,24.7833
2023-08-09 13:04:02,24.79,24.82,24.786,24.789
2023-08-09 13:04:17,24.79,24.81,24.7822,24.7833
2023-08-09 13:04:33,24.78,24.79,24.7659,24.7703
2023-08-09 13:04:48,24.79,24.82,24.7889,24.7933
2023-08-09 13:05:03,24.78,24.8,24.7732,24.7733
2023-08-09 13:05:22,24.79,24.83,24.806,24.8093
2023-08-09 13:05:37,24.78,24.81,24.7728,24.7753
2023-08-09 13:05:53,24.8,24.83,24.7962,24.8003
2023-08-09 13:06:09,24.84,24.87,24.8352,24.8374
2023-08-09 13:06:24,24.82,24.84,24.8089,24.8133
2023-08-09 13:06:39,24.82,24.84,24.8219,24.8234
2023-08-09 13:06:54,24.83,24.84,24.8173,24.8185
2023-08-09 13:07:10,24.81,24.83,24.8068,24.8079
2023-08-09 13:07:25,24.81,24.84,24.8118,24.8119
2023-08-09 13:07:40,24.84,24.86,24.8326,24.8327
2023-08-09 13:07:55,24.8,24.83,24.8001,24.8002
2023-08-09 13:08:10,24.76,24.79,24.7701,24.7702
2023-08-09 13:08:26,24.75,24.79,24.7557,24.7593
2023-08-09 13:08:41,24.78,24.81,24.7809,24.781
2023-08-09 13:08:56,24.77,24.79,24.7699,24.77
2023-08-09 13:09:11,24.78,24.81,24.7915,24.7954
2023-08-09 13:09:26,24.79,24.81,24.7898,24.7905
2023-08-09 13:09:41,24.76,24.79,24.7683,24.7684
2023-08-09 13:09:57,24.77,24.8,24.786,24.7888
2023-08-09 13:10:12,24.79,24.82,24.7999,24.8
2023-08-09 13:10:27,24.79,24.81,24.7979,24.8019
2023-08-09 13:10:42,24.79,24.82,24.7938,24.7966
2023-08-09 13:10:57,24.79,24.82,24.8061,24.8078
2023-08-09 13:11:13,24.79,24.82,24.8068,24.8069
2023-08-09 13:11:28,24.79,24.82,24.7998,24.7999
2023-08-09 13:11:43,24.8,24.82,24.8059,24.806
2023-08-09 13:11:58,24.79,24.81,24.7938,24.7968
2023-08-09 13:12:14,24.78,24.79,24.7786,24.7787
2023-08-09 13:12:29,24.78,24.81,24.7849,24.785
2023-08-09 13:12:44,24.79,24.81,24.7934,24.7971
2023-08-09 13:12:59,24.77,24.8,24.7809,24.7821
2023-08-09 13:13:14,24.76,24.78,24.7683,24.7684
