timestamp,Bybit_XRPUSDC_bid,Bybit_XRPUSDC_ask,Bitget_XRPUSDTUMCBL_bid,Bitget_XRPUSDTUMCBL_ask
2023-08-09 12:34:46,0.6481,0.6483,0.64818,0.64825
2023-08-09 12:35:02,0.6481,0.6483,0.64815,0.64816
2023-08-09 12:35:17,0.6483,0.6485,0.64835,0.6484
2023-08-09 12:35:32,0.6478,0.6482,0.64795,0.64796
2023-08-09 12:35:47,0.6476,0.6482,0.64779,0.6478
2023-08-09 12:36:03,0.6469,0.6475,0.64714,0.64724
2023-08-09 12:36:18,0.6462,0.6465,0.64625,0.64634
2023-08-09 12:36:33,0.6461,0.6464,0.64615,0.64621
2023-08-09 12:36:48,0.6463,0.6468,0.64649,0.64653
2023-08-09 12:37:03,0.6467,0.6471,0.64689,0.64697
2023-08-09 12:37:19,0.6463,0.6469,0.64643,0.64652
2023-08-09 12:37:34,0.6466,0.6469,0.64674,0.64682
2023-08-09 12:37:49,0.647,0.6473,0.64711,0.64712
2023-08-09 12:38:04,0.6469,0.6472,0.647,0.6471
2023-08-09 12:38:20,0.6469,0.6473,0.6471,0.64711
2023-08-09 12:38:35,0.6469,0.6472,0.64701,0.64707
2023-08-09 12:38:50,0.647,0.6473,0.6471,0.64716
2023-08-09 12:39:05,0.6469,0.6475,0.64715,0.64725
2023-08-09 12:39:20,0.6465,0.6467,0.64672,0.64681
2023-08-09 12:39:36,0.6461,0.6465,0.64628,0.64634
2023-08-09 12:39:51,0.646,0.6463,0.64613,0.64619
2023-08-09 12:40:06,0.6464,0.6466,0.6465,0.64658
2023-08-09 12:40:21,0.6462,0.6465,0.64626,0.64635
2023-08-09 12:40:37,0.6467,0.6469,0.64665,0.64672
2023-08-09 12:40:52,0.6461,0.6467,0.64633,0.6464
2023-08-09 12:41:07,0.6461,0.6464,0.64626,0.64632
2023-08-09 12:41:22,0.6463,0.6466,0.64651,0.64652
2023-08-09 12:41:37,0.6467,0.647,0.64681,0.6469
2023-08-09 12:41:53,0.6465,0.6467,0.64679,0.64685
2023-08-09 12:42:08,0.6462,0.6465,0.64628,0.64634
2023-08-09 12:42:23,0.6457,0.6458,0.64578,0.64582
2023-08-09 12:42:38,0.6462,0.6465,0.64636,0.64642
2023-08-09 12:42:53,0.6461,0.6465,0.64617,0.64618
2023-08-09 12:43:09,0.6462,0.6464,0.64625,0.6463
2023-08-09 12:43:24,0.6459,0.6462,0.64603,0.64608
2023-08-09 12:43:39,0.6459,0.6462,0.64601,0.64602
2023-08-09 12:43:54,0.6457,0.6458,0.64578,0.6458
2023-08-09 12:44:10,0.6453,0.6458,0.64553,0.64568
2023-08-09 12:44:25,0.6459,0.6462,0.64615,0.64616
2023-08-09 12:44:40,0.6458,0.6462,0.64594,0.64595
2023-08-09 12:44:55,0.6455,0.6458,0.6456,0.6457
2023-08-09 12:45:10,0.6457,0.646,0.64586,0.64593
2023-08-09 12:45:26,0.6459,0.6462,0.646,0.64606
2023-08-09 12:45:41,0.646,0.6464,0.64629,0.64638
2023-08-09 12:45:56,0.6461,0.6464,0.64639,0.64649
2023-08-09 12:46:11,0.646,0.6464,0.64656,0.64657
2023-08-09 12:46:26,0.6453,0.6454,0.64546,0.64551
2023-08-09 12:46:41,0.6454,0.6459,0.64567,0.64572
2023-08-09 12:46:57,0.6457,0.6458,0.64589,0.6459
2023-08-09 12:47:12,0.6456,0.6459,0.64561,0.64566
2023-08-09 12:47:27,0.6458,0.6462,0.64599,0.646
2023-08-09 12:47:42,0.6459,0.6463,0.64616,0.64628
