Price,Quantity,Type,Bid_Ask_Ratio
29507,30.727,Ask,
29507.5,101.734,Ask,
29508,101.721,Ask,
29508.5,76.42,Ask,
29509,41.466,Ask,
29509.5,19.242,Ask,
2.951E+4,11.728,Ask,
29510.5,15.524,Ask,
29511,30.574,Ask,
29511.5,3.022,Ask,
29512,59.647,Ask,
29512.5,42.297,Ask,
29513,50.03,Ask,
29513.5,63.136,Ask,
29514,21.205,Ask,
29514.5,9.4,Ask,
29515,19.266,Ask,
29515.5,3.033,Ask,
29516,9.881,Ask,
29516.5,3.017,Ask,
29517,3.053,Ask,
29517.5,38.674,Ask,
29518,7.322,Ask,
29518.5,7.322,Ask,
29519,7.003,Ask,
29519.5,3.666,Ask,
2.952E+4,3.048,Ask,
29520.5,3.055,Ask,
29521,3.054,Ask,
29521.5,3.021,Ask,
29522,3.011,Ask,
29522.5,3.043,Ask,
29523,3.38,Ask,
29524,0.002,Ask,
29524.5,3.059,Ask,
29525,3.046,Ask,
29526,3.031,Ask,
29527.5,9.034,Ask,
29528,47.752,Ask,
29529,0.12,Ask,
29529.5,44.49,Ask,
2.953E+4,3.05,Ask,
29530.5,3.023,Ask,
29531,3.035,Ask,
29531.5,0.002,Ask,
29532,0.004,Ask,
29533,0.08,Ask,
29533.5,3.015,Ask,
29534.5,1.946,Ask,
29535,3.012,Ask,
29536,47.924,Ask,
29537,0.001,Ask,
29537.5,3.041,Ask,
29538,3.02,Ask,
29538.5,0.023,Ask,
2.954E+4,3.052,Ask,
29541,3.017,Ask,
29544,0.006,Ask,
29545.5,0.021,Ask,
29546,0.017,Ask,
29547.5,3.924,Ask,
29548.5,61.157,Ask,
2.955E+4,5.589,Ask,
29551,0.003,Ask,
29552.5,0.009,Ask,
29555,0.197,Ask,
29555.5,0.103,Ask,
29556,0.013,Ask,
29557.5,0.045,Ask,
29558.5,0.383,Ask,
29559,1.707,Ask,
2.956E+4,0.051,Ask,
29560.5,0.002,Ask,
29561,0.006,Ask,
29561.5,0.003,Ask,
29562.5,4.792,Ask,
29563.5,59.163,Ask,
29564,0.69,Ask,
29565,0.026,Ask,
29566,0.05,Ask,
29567,0.001,Ask,
29569,0.019,Ask,
2.957E+4,0.269,Ask,
29571,0.002,Ask,
29571.5,0.001,Ask,
29572,0.211,Ask,
29572.5,0.092,Ask,
29573,0.008,Ask,
29573.5,0.021,Ask,
29575,0.342,Ask,
29576.5,0.116,Ask,
29577,0.001,Ask,
29578,0.005,Ask,
29578.5,60.493,Ask,
2.958E+4,1.016,Ask,
29580.5,0.507,Ask,
29581,0.006,Ask,
29581.5,0.668,Ask,
29582.5,0.005,Ask,
29583,0.304,Ask,
29506.5,1.349,Bid,
29506,0.13,Bid,
29502.5,3.041,Bid,
29502,1.187,Bid,
29500.5,19.457,Bid,
2.95E+4,39.152,Bid,
29499.5,7.322,Bid,
29499,7.089,Bid,
29498.5,3.032,Bid,
29498,3.042,Bid,
29497.5,3.049,Bid,
29497,3.02,Bid,
29496.5,3.806,Bid,
29496,3.039,Bid,
29495.5,4.438,Bid,
29495,3.031,Bid,
29494.5,101.706,Bid,
29494,20.135,Bid,
29493.5,17.552,Bid,
29493,24.393,Bid,
29492.5,42.601,Bid,
29492,44.973,Bid,
29491.5,13.271,Bid,
29491,32.761,Bid,
29490.5,28.707,Bid,
2.949E+4,29.025,Bid,
29489.5,16.178,Bid,
29489,43.15,Bid,
29488.5,24.602,Bid,
29488,14.211,Bid,
29487,3.031,Bid,
29486.5,3.336,Bid,
29486,3.058,Bid,
29485.5,0.005,Bid,
29485,0.069,Bid,
29484.5,12.667,Bid,
29483.5,24.05,Bid,
29483,3.041,Bid,
29482.5,3.037,Bid,
29482,3.058,Bid,
29481.5,3.036,Bid,
2.948E+4,3.036,Bid,
29478.5,25.179,Bid,
29478,3.033,Bid,
29477.5,1.106,Bid,
29477,3.011,Bid,
29476.5,3.049,Bid,
29476,3.055,Bid,
29475.5,3.026,Bid,
29475,3.051,Bid,
29474.5,3.023,Bid,
29474,1.0,Bid,
29472.5,3.025,Bid,
29471.5,3.037,Bid,
29471,3.02,Bid,
29470.5,0.011,Bid,
2.947E+4,38.609,Bid,
29469,3.05,Bid,
29465,0.115,Bid,
2.946E+4,2.37,Bid,
29459,57.834,Bid,
29458.5,3.924,Bid,
29457,0.001,Bid,
29456.5,0.195,Bid,
29455.5,0.019,Bid,
29455,0.048,Bid,
29453.5,0.003,Bid,
29453,1.093,Bid,
29452,0.051,Bid,
29451.5,1.045,Bid,
29451,1.515,Bid,
29450.5,0.009,Bid,
2.945E+4,25.301,Bid,
29449,1.305,Bid,
29448.5,0.004,Bid,
29448,0.66,Bid,
29447.5,0.004,Bid,
29447,1.11,Bid,
29446.5,0.004,Bid,
29446,0.171,Bid,
29445.5,0.004,Bid,
29445,0.636,Bid,
29444.5,0.407,Bid,
29444,61.157,Bid,
29443.5,0.003,Bid,
29443,0.033,Bid,
29442.5,0.026,Bid,
29442,0.406,Bid,
29441.5,0.003,Bid,
29441,0.249,Bid,
29440.5,0.018,Bid,
2.944E+4,0.836,Bid,
29439.5,0.001,Bid,
29439,0.255,Bid,
29438.5,0.688,Bid,
29438,0.064,Bid,
29437,2.988,Bid,
29436.5,1.051,Bid,
29436,0.479,Bid,
29435.5,0.012,Bid,
