Date,value
1600756200000,5.40000000
1600757100000,4.88110000
1600758000000,4.45930000
1600758900000,4.93120000
1600759800000,4.61180000
1600760700000,4.90960000
1600761600000,5.29520000
1600762500000,5.39510000
1600763400000,6.63090000
1600764300000,6.82190000
1600765200000,6.38850000
1600766100000,6.44880000
1600767000000,6.11150000
1600767900000,6.21080000
1600768800000,5.54660000
1600769700000,5.41260000
1600770600000,5.20140000
1600771500000,5.49010000
1600772400000,5.39050000
1600773300000,6.03620000
1600774200000,5.83440000
1600775100000,5.76790000
1600776000000,5.47750000
1600776900000,5.59340000
1600777800000,6.03550000
1600778700000,5.85650000
1600779600000,5.64350000
1600780500000,5.94310000
1600781400000,5.75000000
1600782300000,5.51120000
1600783200000,5.22770000
1600784100000,5.22090000
1600785000000,5.16000000
1600785900000,5.15700000
1600786800000,4.80350000
1600787700000,4.56970000
1600788600000,4.42000000
1600789500000,4.66990000
1600790400000,4.46080000
1600791300000,4.69920000
1600792200000,4.84240000
1600793100000,4.88480000
1600794000000,4.57950000
1600794900000,4.74570000
1600795800000,4.64280000
1600796700000,4.41010000
1600797600000,4.16030000
1600798500000,4.33990000
1600799400000,4.25380000
1600800300000,4.15320000
1600801200000,4.39970000
1600802100000,4.33260000
1600803000000,4.34670000
1600803900000,4.48000000
1600804800000,4.44500000
1600805700000,4.39900000
1600806600000,4.35190000
1600807500000,4.33160000
1600808400000,4.41610000
1600809300000,4.60580000
1600810200000,4.70620000
1600811100000,4.82000000
1600812000000,4.59610000
1600812900000,4.78430000
1600813800000,5.03700000
1600814700000,5.31490000
1600815600000,5.33850000
1600816500000,5.26990000
1600817400000,5.07490000
1600818300000,5.31930000
1600819200000,5.25860000
1600820100000,5.17330000
1600821000000,5.04440000
1600821900000,4.95360000
1600822800000,5.03960000
1600823700000,4.69990000
1600824600000,4.60010000
1600825500000,4.76740000
1600826400000,4.84330000
1600827300000,4.81910000
1600828200000,4.72610000
1600829100000,5.00250000
1600830000000,4.95740000
1600830900000,4.81200000
1600831800000,4.95110000
1600832700000,4.91350000
1600833600000,4.47200000
1600834500000,4.35700000
1600835400000,4.42820000
1600836300000,4.31600000
1600837200000,4.32430000
1600838100000,4.36020000
1600839000000,4.46310000
1600839900000,4.38620000
1600840800000,4.50720000
1600841700000,4.55480000
1600842600000,4.34510000
1600843500000,4.36540000
1600844400000,4.20590000
1600845300000,4.05980000
1600846200000,4.09950000
1600847100000,4.11970000
1600848000000,4.07010000
1600848900000,4.28010000
1600849800000,4.26480000
1600850700000,4.26070000
1600851600000,4.15760000
1600852500000,4.16230000
1600853400000,4.15930000
1600854300000,4.23230000
1600855200000,4.15550000
1600856100000,4.15990000
1600857000000,4.17620000
1600857900000,4.27440000
1600858800000,4.23030000
1600859700000,4.20380000
1600860600000,4.23560000
1600861500000,4.21080000
1600862400000,4.13790000
1600863300000,4.09650000
1600864200000,4.26070000
1600865100000,4.29480000
1600866000000,4.26590000
1600866900000,4.50720000
1600867800000,4.45900000
1600868700000,4.40960000
1600869600000,4.26570000
1600870500000,4.30100000
1600871400000,4.30920000
1600872300000,4.22420000
1600873200000,4.24050000
1600874100000,4.06000000
1600875000000,4.15000000
1600875900000,4.10730000
1600876800000,4.10280000
1600877700000,4.11720000
1600878600000,4.20600000
1600879500000,4.27060000
1600880400000,4.17250000
1600881300000,4.16920000
1600882200000,4.23980000
1600883100000,4.16500000
1600884000000,4.25570000
1600884900000,4.14010000
1600885800000,4.17140000
1600886700000,4.00030000
1600887600000,3.83670000
1600888500000,3.81120000
1600889400000,3.81980000
1600890300000,3.72380000
1600891200000,3.83550000
1600892100000,3.82160000
1600893000000,3.59710000
1600893900000,3.55870000
1600894800000,3.58170000
1600895700000,3.50890000
1600896600000,3.50930000
1600897500000,3.55610000
1600898400000,3.59130000
1600899300000,3.52990000
1600900200000,3.47970000
1600901100000,3.58140000
1600902000000,3.55060000
1600902900000,3.47720000
1600903800000,3.50010000
1600904700000,3.53500000
1600905600000,3.45760000
1600906500000,3.54490000
1600907400000,3.61030000
1600908300000,3.56330000
1600909200000,3.70980000
1600910100000,3.67980000
1600911000000,3.69110000
1600911900000,3.63610000
1600912800000,3.71320000
1600913700000,3.75290000
1600914600000,3.71780000
1600915500000,3.71870000
1600916400000,3.78460000
1600917300000,3.74570000
1600918200000,3.76920000
1600919100000,3.73980000
1600920000000,3.73000000
1600920900000,3.67730000
1600921800000,3.60210000
1600922700000,3.60280000
1600923600000,3.56690000
1600924500000,3.67100000
1600925400000,3.59220000
1600926300000,3.62130000
1600927200000,3.63000000
1600928100000,3.71410000
1600929000000,3.69440000
1600929900000,3.68000000
1600930800000,3.77560000
1600931700000,3.87290000
1600932600000,3.84000000
1600933500000,3.83230000
1600934400000,3.89750000
1600935300000,4.01810000
1600936200000,4.17740000
1600937100000,4.11240000
1600938000000,4.07060000
1600938900000,4.00320000
1600939800000,3.97270000
1600940700000,4.03960000
1600941600000,4.11010000
1600942500000,4.13180000
1600943400000,4.09000000
1600944300000,4.27030000
1600945200000,4.34240000
1600946100000,4.35210000
1600947000000,4.37270000
1600947900000,4.31790000
1600948800000,4.17520000
1600949700000,4.21370000
1600950600000,4.02440000
1600951500000,3.94710000
1600952400000,4.03270000
1600953300000,4.02860000
1600954200000,3.89340000
1600955100000,3.96040000
1600956000000,4.03970000
1600956900000,4.02810000
1600957800000,3.97990000
1600958700000,4.11260000
1600959600000,4.08670000
1600960500000,4.15100000
1600961400000,4.17030000
1600962300000,4.14660000
1600963200000,4.22130000
1600964100000,4.13770000
1600965000000,4.11140000
1600965900000,4.19210000
1600966800000,4.15670000
1600967700000,4.18230000
1600968600000,4.16600000
1600969500000,4.18180000
1600970400000,4.20370000
1600971300000,4.10980000
1600972200000,4.05690000
1600973100000,4.01620000
1600974000000,4.06990000
1600974900000,4.03110000
1600975800000,4.13650000
1600976700000,4.18280000
1600977600000,4.23970000
1600978500000,4.18480000
1600979400000,4.15000000
1600980300000,4.08500000
1600981200000,4.10310000
1600982100000,4.18860000
1600983000000,4.19830000
1600983900000,4.28500000
1600984800000,4.30850000
1600985700000,4.47330000
1600986600000,4.64610000
1600987500000,4.70710000
1600988400000,4.72640000
1600989300000,4.64180000
1600990200000,4.61000000
1600991100000,4.64110000
1600992000000,4.70830000
1600992900000,4.55500000
1600993800000,4.53330000
1600994700000,4.53360000
1600995600000,4.52130000
1600996500000,4.56500000
1600997400000,4.52910000
1600998300000,4.50310000
1600999200000,4.60920000
1601000100000,4.61420000
1601001000000,4.59280000
1601001900000,4.57470000
1601002800000,4.71630000
1601003700000,4.65500000
1601004600000,4.57610000
1601005500000,4.53100000
1601006400000,4.51800000
1601007300000,4.57700000
1601008200000,4.55430000
1601009100000,4.60630000
1601010000000,4.54490000
1601010900000,4.54730000
1601011800000,4.56760000
1601012700000,4.47330000
1601013600000,4.51820000
1601014500000,4.51220000
1601015400000,4.57340000
1601016300000,4.74310000
1601017200000,4.72010000
1601018100000,4.66440000
1601019000000,4.65100000
1601019900000,4.57620000
1601020800000,4.56410000
1601021700000,4.62190000
1601022600000,4.48310000
1601023500000,4.43230000
1601024400000,4.53720000
1601025300000,4.51990000
1601026200000,4.38790000
1601027100000,4.41490000
1601028000000,4.43990000
1601028900000,4.40390000
1601029800000,4.37290000
1601030700000,4.28000000
1601031600000,4.23210000
1601032500000,4.34200000
1601033400000,4.36760000
1601034300000,4.37810000
1601035200000,4.44230000
1601036100000,4.39560000
1601037000000,4.37790000
1601037900000,4.41490000
1601038800000,4.49000000
1601039700000,4.46590000
1601040600000,4.56440000
1601041500000,4.61790000
1601042400000,4.53150000
1601043300000,4.57000000
1601044200000,4.56570000
1601045100000,4.58500000
1601046000000,4.53940000
1601046900000,4.54250000
1601047800000,4.54210000
1601048700000,4.70010000
1601049600000,4.79460000
1601050500000,4.70030000
1601051400000,4.66740000
1601052300000,4.74000000
1601053200000,4.67000000
1601054100000,4.67600000
1601055000000,4.75890000
1601055900000,4.74570000
1601056800000,4.78100000
1601057700000,4.68970000
1601058600000,4.64540000
1601059500000,4.68780000
1601060400000,4.73800000
1601061300000,4.72190000
1601062200000,4.71350000
1601063100000,4.71190000
1601064000000,4.73150000
1601064900000,4.84020000
1601065800000,4.87970000
1601066700000,4.86080000
1601067600000,4.87400000
1601068500000,4.87300000
1601069400000,4.95780000
1601070300000,4.88290000
1601071200000,4.85980000
1601072100000,4.82700000
1601073000000,4.78250000
1601073900000,4.81650000
1601074800000,4.73820000
1601075700000,4.68300000
1601076600000,4.61850000
1601077500000,4.71340000
1601078400000,4.72640000
1601079300000,4.67160000
1601080200000,4.57160000
1601081100000,4.62470000
1601082000000,4.60400000
1601082900000,4.57430000
1601083800000,4.55000000
1601084700000,4.55570000
1601085600000,4.59000000
1601086500000,4.64300000
1601087400000,4.68310000
1601088300000,4.70220000
1601089200000,4.70220000
1601090100000,4.65960000
1601091000000,4.65820000
1601091900000,4.53600000
1601092800000,4.56840000
1601093700000,4.55470000
1601094600000,4.61360000
1601095500000,4.60830000
1601096400000,4.65490000
1601097300000,4.65820000
1601098200000,4.67890000
1601099100000,4.72260000
1601100000000,4.79100000
1601100900000,4.76220000
1601101800000,4.69680000
1601102700000,4.69690000
1601103600000,4.65440000
1601104500000,4.65940000
1601105400000,4.67160000
1601106300000,4.68000000
1601107200000,4.60410000
1601108100000,4.57020000
1601109000000,4.56000000
1601109900000,4.54000000
1601110800000,4.53630000
1601111700000,4.58630000
1601112600000,4.60650000
1601113500000,4.58450000
1601114400000,4.60420000
1601115300000,4.59210000
1601116200000,4.59360000
1601117100000,4.57490000
1601118000000,4.58700000
1601118900000,4.58700000
1601119800000,4.56290000
1601120700000,4.56460000
1601121600000,4.47870000
1601122500000,4.50920000
1601123400000,4.44000000
1601124300000,4.43720000
1601125200000,4.40000000
1601126100000,4.44380000
1601127000000,4.40080000
1601127900000,4.39940000
1601128800000,4.48790000
1601129700000,4.50480000
1601130600000,4.47540000
1601131500000,4.44800000
1601132400000,4.47000000
1601133300000,4.46220000
1601134200000,4.43860000
1601135100000,4.47000000
1601136000000,4.41030000
1601136900000,4.43690000
1601137800000,4.41400000
1601138700000,4.42900000
1601139600000,4.50070000
1601140500000,4.55630000
1601141400000,4.53180000
1601142300000,4.56200000
1601143200000,4.51560000
1601144100000,4.57940000
1601145000000,4.70040000
1601145900000,4.69070000
1601146800000,4.63160000
1601147700000,4.65580000
1601148600000,4.64740000
1601149500000,4.62090000
1601150400000,4.64550000
1601151300000,4.62140000
1601152200000,4.65910000
1601153100000,4.63000000
1601154000000,4.61950000
1601154900000,4.62320000
1601155800000,4.59510000
1601156700000,4.53830000
1601157600000,4.53210000
1601158500000,4.53360000
1601159400000,4.51870000
1601160300000,4.52060000
1601161200000,4.52090000
1601162100000,4.53870000
1601163000000,4.54030000
1601163900000,4.52000000
1601164800000,4.55380000
1601165700000,4.61150000
1601166600000,4.68710000
1601167500000,4.65000000
1601168400000,4.65540000
1601169300000,4.61840000
1601170200000,4.61620000
1601171100000,4.57270000
1601172000000,4.58410000
1601172900000,4.59160000
1601173800000,4.55820000
1601174700000,4.53890000
1601175600000,4.55510000
1601176500000,4.56730000
1601177400000,4.52730000
1601178300000,4.57130000
1601179200000,4.57490000
1601180100000,4.54160000
1601181000000,4.54680000
1601181900000,4.54110000
1601182800000,4.53980000
1601183700000,4.53190000
1601184600000,4.55500000
1601185500000,4.57390000
1601186400000,4.55140000
1601187300000,4.52290000
1601188200000,4.41010000
1601189100000,4.33400000
1601190000000,4.35250000
1601190900000,4.38030000
1601191800000,4.38730000
1601192700000,4.37840000
1601193600000,4.31790000
1601194500000,4.32910000
1601195400000,4.30000000
1601196300000,4.32390000
1601197200000,4.32000000
1601198100000,4.32870000
1601199000000,4.31120000
1601199900000,4.26660000
1601200800000,4.34370000
1601201700000,4.30600000
1601202600000,4.34160000
1601203500000,4.32990000
1601204400000,4.33520000
1601205300000,4.32490000
1601206200000,4.31220000
1601207100000,4.29300000
1601208000000,4.27410000
1601208900000,4.28530000
1601209800000,4.23010000
1601210700000,4.18980000
1601211600000,4.20310000
1601212500000,4.17800000
1601213400000,4.22850000
