Date,value
1600754400000,4.88110000
1600758000000,4.90960000
1600761600000,6.82190000
1600765200000,6.21080000
1600768800000,5.49010000
1600772400000,5.76790000
1600776000000,5.85650000
1600779600000,5.51120000
1600783200000,5.15700000
1600786800000,4.66990000
1600790400000,4.88480000
1600794000000,4.41010000
1600797600000,4.15320000
1600801200000,4.48000000
1600804800000,4.33160000
1600808400000,4.82000000
1600812000000,5.31490000
1600815600000,5.31930000
1600819200000,4.95360000
1600822800000,4.76740000
1600826400000,5.00250000
1600830000000,4.91350000
1600833600000,4.31600000
1600837200000,4.38620000
1600840800000,4.36540000
1600844400000,4.11970000
1600848000000,4.26070000
1600851600000,4.23230000
1600855200000,4.27440000
1600858800000,4.21080000
1600862400000,4.29480000
1600866000000,4.40960000
1600869600000,4.22420000
1600873200000,4.10730000
1600876800000,4.27060000
1600880400000,4.16500000
1600884000000,4.00030000
1600887600000,3.72380000
1600891200000,3.55870000
1600894800000,3.55610000
1600898400000,3.58140000
1600902000000,3.53500000
1600905600000,3.56330000
1600909200000,3.63610000
1600912800000,3.71870000
1600916400000,3.73980000
1600920000000,3.60280000
1600923600000,3.62130000
1600927200000,3.68000000
1600930800000,3.83230000
1600934400000,4.11240000
1600938000000,4.03960000
1600941600000,4.27030000
1600945200000,4.31790000
1600948800000,3.94710000
1600952400000,3.96040000
1600956000000,4.11260000
1600959600000,4.14660000
1600963200000,4.19210000
1600966800000,4.18180000
1600970400000,4.01620000
1600974000000,4.18280000
1600977600000,4.08500000
1600981200000,4.28500000
1600984800000,4.70710000
1600988400000,4.64110000
1600992000000,4.53360000
1600995600000,4.50310000
1600999200000,4.57470000
1601002800000,4.53100000
1601006400000,4.60630000
1601010000000,4.47330000
1601013600000,4.74310000
1601017200000,4.57620000
1601020800000,4.43230000
1601024400000,4.41490000
1601028000000,4.28000000
1601031600000,4.37810000
1601035200000,4.41490000
1601038800000,4.61790000
1601042400000,4.58500000
1601046000000,4.70010000
1601049600000,4.74000000
1601053200000,4.74570000
1601056800000,4.68780000
1601060400000,4.71190000
1601064000000,4.86080000
1601067600000,4.88290000
1601071200000,4.81650000
1601074800000,4.71340000
1601078400000,4.62470000
1601082000000,4.55570000
1601085600000,4.70220000
1601089200000,4.53600000
1601092800000,4.60830000
1601096400000,4.72260000
1601100000000,4.69690000
1601103600000,4.68000000
1601107200000,4.54000000
1601110800000,4.58450000
1601114400000,4.57490000
1601118000000,4.56460000
1601121600000,4.43720000
1601125200000,4.39940000
1601128800000,4.44800000
1601132400000,4.47000000
1601136000000,4.42900000
1601139600000,4.56200000
1601143200000,4.69070000
1601146800000,4.62090000
1601150400000,4.63000000
1601154000000,4.53830000
1601157600000,4.52060000
1601161200000,4.52000000
1601164800000,4.65000000
1601168400000,4.57270000
1601172000000,4.53890000
1601175600000,4.57130000
1601179200000,4.54110000
1601182800000,4.57390000
1601186400000,4.33400000
1601190000000,4.37840000
1601193600000,4.32390000
1601197200000,4.26660000
1601200800000,4.32990000
1601204400000,4.29300000
1601208000000,4.18980000
1601211600000,4.23090000
1601215200000,4.26310000
1601218800000,4.42300000
1601222400000,4.41040000
1601226000000,4.37030000
1601229600000,4.38930000
1601233200000,4.39450000
1601236800000,4.40910000
1601240400000,4.54130000
1601244000000,4.49740000
1601247600000,4.64840000
1601251200000,4.56560000
1601254800000,4.52980000
1601258400000,4.46200000
1601262000000,4.46090000
1601265600000,4.50990000
1601269200000,4.48320000
1601272800000,4.39040000
1601276400000,4.40110000
1601280000000,4.40530000
1601283600000,4.32840000
1601287200000,4.30010000
1601290800000,4.34290000
1601294400000,4.37910000
1601298000000,4.32450000
1601301600000,4.35580000
1601305200000,4.42220000
1601308800000,4.35490000
1601312400000,4.36580000
1601316000000,4.33940000
1601319600000,4.34000000
1601323200000,4.40450000
1601326800000,4.38600000
1601330400000,4.36060000
1601334000000,4.20210000
1601337600000,4.26000000
1601341200000,4.18970000
1601344800000,4.21730000
1601348400000,4.24500000
1601352000000,4.24010000
1601355600000,4.13350000
1601359200000,4.26380000
1601362800000,4.23660000
1601366400000,4.22140000
1601370000000,4.23900000
1601373600000,4.26250000
1601377200000,4.25270000
1601380800000,4.13150000
1601384400000,4.10000000
1601388000000,4.08970000
1601391600000,4.07110000
1601395200000,4.00540000
1601398800000,4.05770000
1601402400000,4.01530000
1601406000000,4.04310000
1601409600000,4.05640000
1601413200000,4.04580000
1601416800000,4.01560000
1601420400000,4.13940000
1601424000000,4.11330000
1601427600000,4.17830000
1601431200000,4.12090000
1601434800000,4.10300000
1601438400000,4.11470000
1601442000000,4.06730000
1601445600000,4.09760000
1601449200000,4.03300000
1601452800000,4.02810000
1601456400000,4.08370000
1601460000000,4.11660000
1601463600000,4.05880000
1601467200000,4.09990000
1601470800000,4.17150000
1601474400000,4.22200000
1601478000000,4.27790000
1601481600000,4.26980000
1601485200000,4.27400000
1601488800000,4.37150000
1601492400000,4.32290000
1601496000000,4.28430000
1601499600000,4.30340000
1601503200000,4.29400000
1601506800000,4.32930000
1601510400000,4.25490000
1601514000000,4.18220000
1601517600000,4.18170000
1601521200000,4.19090000
1601524800000,4.20730000
1601528400000,4.25860000
1601532000000,4.29100000
1601535600000,4.32340000
1601539200000,4.31990000
1601542800000,4.46450000
1601546400000,4.43210000
1601550000000,4.38890000
1601553600000,4.35850000
1601557200000,4.35730000
1601560800000,4.30360000
1601564400000,4.20840000
1601568000000,4.09810000
1601571600000,4.07390000
1601575200000,4.11780000
1601578800000,4.14670000
1601582400000,4.14600000
1601586000000,4.12160000
1601589600000,4.15130000
1601593200000,4.15000000
1601596800000,4.13990000
1601600400000,4.12350000
1601604000000,4.12080000
1601607600000,4.15800000
1601611200000,4.16120000
1601614800000,3.93910000
1601618400000,3.95740000
1601622000000,3.93880000
1601625600000,3.86760000
1601629200000,3.84210000
1601632800000,3.76930000
1601636400000,3.75650000
1601640000000,3.85330000
1601643600000,3.92110000
1601647200000,3.93570000
1601650800000,3.87710000
1601654400000,3.89880000
1601658000000,3.95330000
1601661600000,3.91660000
1601665200000,3.84470000
1601668800000,3.88450000
1601672400000,3.77550000
1601676000000,3.84760000
1601679600000,3.91150000
1601683200000,3.91290000
1601686800000,3.92680000
1601690400000,3.91660000
1601694000000,3.98710000
1601697600000,3.94140000
1601701200000,3.92000000
1601704800000,3.93270000
1601708400000,3.92480000
1601712000000,3.92700000
1601715600000,3.93120000
1601719200000,4.06130000
1601722800000,4.03720000
1601726400000,4.03520000
1601730000000,3.99710000
1601733600000,3.99260000
1601737200000,4.02550000
1601740800000,4.15620000
1601744400000,4.11640000
1601748000000,4.14990000
1601751600000,4.11530000
1601755200000,4.05560000
1601758800000,4.03980000
1601762400000,4.07170000
1601766000000,4.01680000
1601769600000,4.04980000
1601773200000,3.97360000
1601776800000,3.96670000
1601780400000,3.93750000
1601784000000,3.94960000
1601787600000,3.91420000
1601791200000,3.98000000
1601794800000,3.97470000
1601798400000,3.91690000
1601802000000,3.87730000
1601805600000,3.86070000
1601809200000,3.88240000
1601812800000,3.90570000
1601816400000,3.90820000
1601820000000,3.93840000
1601823600000,3.90630000
1601827200000,3.88000000
1601830800000,3.90810000
1601834400000,3.91410000
1601838000000,3.99990000
1601841600000,3.95990000
1601845200000,3.96040000
1601848800000,3.93400000
1601852400000,3.96400000
1601856000000,3.98860000
1601859600000,3.98530000
1601863200000,4.02690000
1601866800000,3.99110000
1601870400000,3.98650000
1601874000000,3.99850000
1601877600000,3.93240000
1601881200000,3.92830000
1601884800000,3.93420000
1601888400000,3.92340000
1601892000000,3.92600000
1601895600000,3.91440000
1601899200000,3.93040000
1601902800000,3.97950000
1601906400000,3.98670000
1601910000000,3.97220000
1601913600000,4.02810000
1601917200000,3.95400000
1601920800000,3.98760000
1601924400000,3.99430000
1601928000000,3.99290000
1601931600000,3.96890000
1601935200000,3.95000000
1601938800000,3.98130000
1601942400000,3.93900000
1601946000000,3.91580000
1601949600000,3.87420000
1601953200000,3.85990000
1601956800000,3.75200000
1601960400000,3.73610000
1601964000000,3.71820000
1601967600000,3.72200000
1601971200000,3.72110000
1601974800000,3.70440000
1601978400000,3.59760000
1601982000000,3.61200000
1601985600000,3.67990000
1601989200000,3.63000000
1601992800000,3.61550000
1601996400000,3.75300000
1602000000000,3.66380000
1602003600000,3.66640000
1602007200000,3.62770000
1602010800000,3.56890000
1602014400000,3.52340000
1602018000000,3.59810000
1602021600000,3.51970000
1602025200000,3.54240000
1602028800000,3.47370000
1602032400000,3.39900000
1602036000000,3.47660000
1602039600000,3.37080000
1602043200000,3.44010000
