Date,value
1604494800000,0.16963000
1604498400000,0.17011000
1604502000000,0.15487000
1604505600000,0.14710000
1604509200000,0.15800000
1604512800000,0.15666000
1604516400000,0.15649000
1604520000000,0.15601000
1604523600000,0.15149000
1604527200000,0.15194000
1604530800000,0.14583000
1604534400000,0.14807000
1604538000000,0.14521000
1604541600000,0.14500000
1604545200000,0.13880000
1604548800000,0.14094000
1604552400000,0.13375000
1604556000000,0.13331000
1604559600000,0.13323000
1604563200000,0.13079000
1604566800000,0.12904000
1604570400000,0.14407000
1604574000000,0.13600000
1604577600000,0.13069000
1604581200000,0.12940000
1604584800000,0.13180000
1604588400000,0.13400000
1604592000000,0.13993000
1604595600000,0.14086000
1604599200000,0.14002000
1604602800000,0.13791000
1604606400000,0.14405000
1604610000000,0.14404000
1604613600000,0.13692000
1604617200000,0.13450000
1604620800000,0.13481000
1604624400000,0.12961000
1604628000000,0.12720000
1604631600000,0.12829000
1604635200000,0.13434000
1604638800000,0.13445000
1604642400000,0.12614000
1604646000000,0.12335000
1604649600000,0.12577000
1604653200000,0.12834000
1604656800000,0.13190000
1604660400000,0.13299000
1604664000000,0.13343000
1604667600000,0.14383000
1604671200000,0.13778000
1604674800000,0.13675000
1604678400000,0.14160000
1604682000000,0.13888000
1604685600000,0.13805000
1604689200000,0.14244000
1604692800000,0.14300000
1604696400000,0.14227000
1604700000000,0.14313000
1604703600000,0.14400000
1604707200000,0.14279000
1604710800000,0.14546000
1604714400000,0.16135000
1604718000000,0.15308000
1604721600000,0.14800000
1604725200000,0.14887000
1604728800000,0.16413000
1604732400000,0.16424000
1604736000000,0.16045000
1604739600000,0.15273000
1604743200000,0.15870000
1604746800000,0.15837000
1604750400000,0.16091000
1604754000000,0.15601000
1604757600000,0.14670000
1604761200000,0.14409000
1604764800000,0.14333000
1604768400000,0.13883000
1604772000000,0.13430000
1604775600000,0.13799000
1604779200000,0.14000000
1604782800000,0.13966000
1604786400000,0.14253000
1604790000000,0.14076000
1604793600000,0.14292000
1604797200000,0.15000000
1604800800000,0.15319000
1604804400000,0.15204000
1604808000000,0.15793000
1604811600000,0.16400000
1604815200000,0.18070000
1604818800000,0.17225000
1604822400000,0.17308000
1604826000000,0.19065000
1604829600000,0.18963000
1604833200000,0.20812000
1604836800000,0.20806000
1604840400000,0.20696000
1604844000000,0.19820000
1604847600000,0.20099000
1604851200000,0.22099000
1604854800000,0.22172000
1604858400000,0.21808000
1604862000000,0.20920000
1604865600000,0.22001000
1604869200000,0.21313000
1604872800000,0.21664000
1604876400000,0.19846000
1604880000000,0.20371000
1604883600000,0.22201000
1604887200000,0.21995000
1604890800000,0.21034000
1604894400000,0.22959000
1604898000000,0.23001000
1604901600000,0.26600000
1604905200000,0.27497000
1604908800000,0.26000000
1604912400000,0.28082000
1604916000000,0.28300000
1604919600000,0.26924000
1604923200000,0.26649000
1604926800000,0.27112000
1604930400000,0.26499000
1604934000000,0.27100000
1604937600000,0.30000000
1604941200000,0.29322000
1604944800000,0.31820000
1604948400000,0.30145000
1604952000000,0.29967000
1604955600000,0.29605000
1604959200000,0.29189000
1604962800000,0.27978000
1604966400000,0.29908000
1604970000000,0.33564000
1604973600000,0.33444000
1604977200000,0.33792000
1604980800000,0.35100000
1604984400000,0.34300000
1604988000000,0.34813000
1604991600000,0.34355000
1604995200000,0.32600000
1604998800000,0.32579000
1605002400000,0.32263000
1605006000000,0.32651000
1605009600000,0.31960000
1605013200000,0.32100000
1605016800000,0.31201000
1605020400000,0.27479000
1605024000000,0.29200000
1605027600000,0.29624000
1605031200000,0.28533000
1605034800000,0.28220000
1605038400000,0.29024000
1605042000000,0.29001000
1605045600000,0.27029000
1605049200000,0.26968000
1605052800000,0.30110000
1605056400000,0.32400000
1605060000000,0.31733000
1605063600000,0.32714000
1605067200000,0.31960000
1605070800000,0.36943000
1605074400000,0.41843000
1605078000000,0.36948000
1605081600000,0.36601000
1605085200000,0.36138000
1605088800000,0.36600000
1605092400000,0.36100000
1605096000000,0.34213000
1605099600000,0.34655000
1605103200000,0.32920000
1605106800000,0.38218000
1605110400000,0.37314000
1605114000000,0.39200000
1605117600000,0.37400000
1605121200000,0.39794000
1605124800000,0.38614000
1605128400000,0.39000000
