Date,value
1589241600000,0.01509000
1589242500000,0.01505000
1589243400000,0.01497000
1589244300000,0.01497000
1589245200000,0.01496000
1589246100000,0.01491000
1589247000000,0.01491000
1589247900000,0.01500000
1589248800000,0.01504000
1589249700000,0.01502000
1589250600000,0.01506000
1589251500000,0.01503000
1589252400000,0.01504000
1589253300000,0.01509000
1589254200000,0.01516000
1589255100000,0.01513000
1589256000000,0.01511000
1589256900000,0.01517000
1589257800000,0.01522000
1589258700000,0.01521000
1589259600000,0.01529000
1589260500000,0.01546000
1589261400000,0.01545000
1589262300000,0.01540000
1589263200000,0.01546000
1589264100000,0.01534000
1589265000000,0.01535000
1589265900000,0.01536000
1589266800000,0.01536000
1589267700000,0.01516000
1589268600000,0.01525000
1589269500000,0.01543000
1589270400000,0.01563000
1589271300000,0.01585000
1589272200000,0.01584000
1589273100000,0.01591000
1589274000000,0.01598000
1589274900000,0.01592000
1589275800000,0.01602000
1589276700000,0.01586000
1589277600000,0.01576000
1589278500000,0.01594000
1589279400000,0.01587000
1589280300000,0.01597000
1589281200000,0.01602000
1589282100000,0.01595000
1589283000000,0.01604000
1589283900000,0.01620000
1589284800000,0.01608000
1589285700000,0.01591000
1589286600000,0.01602000
1589287500000,0.01602000
1589288400000,0.01588000
1589289300000,0.01596000
1589290200000,0.01589000
1589291100000,0.01597000
1589292000000,0.01605000
1589292900000,0.01612000
1589293800000,0.01598000
1589294700000,0.01598000
1589295600000,0.01600000
1589296500000,0.01596000
1589297400000,0.01592000
1589298300000,0.01599000
1589299200000,0.01604000
1589300100000,0.01600000
1589301000000,0.01592000
1589301900000,0.01594000
1589302800000,0.01604000
1589303700000,0.01600000
1589304600000,0.01596000
1589305500000,0.01602000
1589306400000,0.01607000
1589307300000,0.01603000
1589308200000,0.01600000
1589309100000,0.01684000
1589310000000,0.01747000
1589310900000,0.01762000
1589311800000,0.01792000
1589312700000,0.01739000
1589313600000,0.01740000
1589314500000,0.01760000
1589315400000,0.01759000
1589316300000,0.01756000
1589317200000,0.01750000
1589318100000,0.01743000
1589319000000,0.01750000
1589319900000,0.01730000
1589320800000,0.01753000
1589321700000,0.01732000
1589322600000,0.01729000
1589323500000,0.01737000
1589324400000,0.01727000
1589325300000,0.01718000
1589326200000,0.01722000
1589327100000,0.01727000
1589328000000,0.01727000
1589328900000,0.01725000
1589329800000,0.01761000
1589330700000,0.01766000
1589331600000,0.01790000
1589332500000,0.01790000
1589333400000,0.01789000
1589334300000,0.01771000
1589335200000,0.01765000
1589336100000,0.01791000
1589337000000,0.01785000
1589337900000,0.01791000
1589338800000,0.01780000
1589339700000,0.01774000
1589340600000,0.01765000
1589341500000,0.01771000
1589342400000,0.01765000
1589343300000,0.01775000
1589344200000,0.01772000
1589345100000,0.01756000
1589346000000,0.01743000
1589346900000,0.01736000
1589347800000,0.01741000
1589348700000,0.01738000
1589349600000,0.01736000
1589350500000,0.01746000
1589351400000,0.01741000
1589352300000,0.01742000
1589353200000,0.01746000
1589354100000,0.01741000
1589355000000,0.01735000
1589355900000,0.01734000
1589356800000,0.01729000
1589357700000,0.01739000
1589358600000,0.01745000
1589359500000,0.01763000
1589360400000,0.01771000
1589361300000,0.01772000
1589362200000,0.01785000
1589363100000,0.01791000
1589364000000,0.01788000
1589364900000,0.01777000
1589365800000,0.01784000
1589366700000,0.01778000
1589367600000,0.01758000
1589368500000,0.01766000
1589369400000,0.01764000
1589370300000,0.01756000
1589371200000,0.01758000
1589372100000,0.01760000
1589373000000,0.01774000
1589373900000,0.01768000
1589374800000,0.01758000
1589375700000,0.01786000
1589376600000,0.01799000
1589377500000,0.01808000
1589378400000,0.01858000
1589379300000,0.01834000
1589380200000,0.01860000
1589381100000,0.01887000
1589382000000,0.01886000
1589382900000,0.01895000
1589383800000,0.01921000
1589384700000,0.01911000
1589385600000,0.01888000
1589386500000,0.01913000
1589387400000,0.01915000
1589388300000,0.01919000
1589389200000,0.01904000
1589390100000,0.01983000
1589391000000,0.01965000
