Date,value
1597118400000,2.92240000
1597132800000,3.04970000
1597147200000,3.19000000
1597161600000,3.18860000
1597176000000,3.29850000
1597190400000,3.28020000
1597204800000,3.36610000
1597219200000,3.68420000
1597233600000,3.76780000
1597248000000,3.67880000
1597262400000,3.75580000
1597276800000,3.75930000
1597291200000,4.07850000
1597305600000,3.87000000
1597320000000,3.80650000
1597334400000,3.85660000
1597348800000,3.73000000
1597363200000,3.62500000
1597377600000,3.55000000
1597392000000,3.71730000
1597406400000,3.57880000
1597420800000,3.37920000
1597435200000,3.40990000
1597449600000,3.32890000
1597464000000,3.52150000
1597478400000,3.45000000
1597492800000,3.43240000
1597507200000,3.36840000
1597521600000,3.17300000
1597536000000,3.19550000
1597550400000,3.44010000
1597564800000,3.41930000
1597579200000,3.38720000
1597593600000,3.40710000
1597608000000,3.38850000
1597622400000,3.35020000
1597636800000,3.20010000
1597651200000,3.28910000
1597665600000,3.12640000
1597680000000,3.15410000
1597694400000,3.11000000
1597708800000,3.03280000
1597723200000,2.99000000
1597737600000,3.06720000
1597752000000,3.36210000
1597766400000,3.52890000
1597780800000,3.34070000
1597795200000,3.10750000
1597809600000,3.03750000
1597824000000,3.01000000
1597838400000,3.00800000
1597852800000,2.94040000
1597867200000,2.88680000
1597881600000,2.92910000
1597896000000,2.99800000
1597910400000,3.15080000
1597924800000,3.32540000
1597939200000,3.32610000
1597953600000,3.20380000
1597968000000,3.16000000
1597982400000,3.07180000
1597996800000,3.09180000
1598011200000,3.01270000
1598025600000,3.04830000
1598040000000,2.93170000
1598054400000,2.81400000
1598068800000,2.80500000
1598083200000,2.85990000
1598097600000,3.06100000
1598112000000,3.05360000
1598126400000,3.01260000
1598140800000,3.11210000
1598155200000,3.07230000
1598169600000,3.03400000
1598184000000,3.13010000
1598198400000,3.39170000
1598212800000,3.25000000
1598227200000,3.28500000
1598241600000,3.44790000
1598256000000,3.46320000
1598270400000,3.46960000
1598284800000,3.28120000
1598299200000,3.34050000
1598313600000,3.15030000
1598328000000,3.15080000
1598342400000,3.18000000
1598356800000,3.11000000
1598371200000,3.12000000
1598385600000,3.25000000
1598400000000,3.37800000
1598414400000,3.44300000
1598428800000,3.60500000
1598443200000,3.65670000
1598457600000,3.62700000
1598472000000,3.56840000
1598486400000,3.50370000
1598500800000,3.69700000
1598515200000,3.40780000
1598529600000,3.46230000
1598544000000,3.37350000
1598558400000,3.45010000
1598572800000,3.76050000
1598587200000,3.67000000
1598601600000,3.94790000
1598616000000,3.87690000
1598630400000,4.18710000
1598644800000,4.00630000
1598659200000,3.93820000
1598673600000,3.79400000
1598688000000,3.89890000
1598702400000,4.05020000
1598716800000,3.97000000
1598731200000,3.95350000
1598745600000,4.02270000
1598760000000,4.31000000
1598774400000,4.55850000
1598788800000,4.42750000
1598803200000,4.53000000
1598817600000,4.43090000
1598832000000,4.33900000
1598846400000,4.10580000
1598860800000,4.27680000
1598875200000,4.36410000
1598889600000,4.79970000
1598904000000,4.74350000
1598918400000,4.75640000
1598932800000,4.69000000
1598947200000,4.52250000
1598961600000,4.45750000
1598976000000,4.59590000
1598990400000,4.33970000
1599004800000,4.34920000
1599019200000,4.23660000
1599033600000,4.07170000
1599048000000,4.08110000
1599062400000,4.07820000
1599076800000,4.17000000
1599091200000,3.89780000
1599105600000,4.37960000
