,t,o
0,2022-03-17,"{'1m': 84.8099823344612, '1w': 41.3796045873246, '1y': 74.7246253171569, '2w': 71.2723732221439, '3m': 69.8621810065947, '6m': 68.8646508032652}"
1,2022-03-18,"{'1m': 82.3862206915048, '1w': 35.4790963438174, '1y': 74.5831889577469, '2w': 66.8277180936273, '3m': 69.8084886131527, '6m': 68.8507655210227}"
2,2022-03-19,"{'1m': 82.6863358104694, '1w': 36.6168621008993, '1y': 74.5961362285977, '2w': 61.9598058226701, '3m': 69.9055417451713, '6m': 68.911849680978}"
3,2022-03-20,"{'1m': 81.6444612847531, '1w': 36.9629671639852, '1y': 74.5920584243496, '2w': 61.8886638132189, '3m': 69.8283863597675, '6m': 68.206095983302}"
4,2022-03-21,"{'1m': 81.557268596279, '1w': 37.6883932598501, '1y': 74.5462431319019, '2w': 60.8378290373031, '3m': 69.245411955068, '6m': 67.7432495932459}"
5,2022-03-22,"{'1m': 80.9005234653798, '1w': 40.3237494623244, '1y': 74.5872119608632, '2w': 62.2538469040605, '3m': 69.5002684012808, '6m': 67.7858612665165}"
6,2022-03-23,"{'1m': 80.5887919484652, '1w': 38.2046131815806, '1y': 74.4803175537784, '2w': 51.2750330242703, '3m': 69.4078877745965, '6m': 67.6094687440683}"
7,2022-03-24,"{'1m': 76.4242733601119, '1w': 37.8385441201779, '1y': 74.493494113064, '2w': 39.8073603366645, '3m': 69.0139504925687, '6m': 67.4928642723009}"
8,2022-03-25,"{'1m': 72.0299131217151, '1w': 37.7455075118619, '1y': 74.2747013826574, '2w': 36.8313628537876, '3m': 69.2008601711577, '6m': 67.4362795049626}"
9,2022-03-26,"{'1m': 71.9451421049908, '1w': 36.7511648908615, '1y': 74.2243976989515, '2w': 36.703286441716, '3m': 69.1609251639786, '6m': 67.4105529428798}"
10,2022-03-27,"{'1m': 71.5762255311895, '1w': 35.8887915947665, '1y': 74.1509886215091, '2w': 36.4226070673541, '3m': 69.1356858925894, '6m': 67.3323157226255}"
11,2022-03-28,"{'1m': 71.0031274264366, '1w': 39.8046418710926, '1y': 74.3154959152205, '2w': 40.2705950303184, '3m': 69.3171015871012, '6m': 67.5187049201799}"
12,2022-03-29,"{'1m': 69.8243371883053, '1w': 38.8500046006032, '1y': 74.2669010717314, '2w': 39.7913874972433, '3m': 69.0773719296302, '6m': 67.5059152627678}"
13,2022-03-30,"{'1m': 68.8192862128476, '1w': 38.418599610687, '1y': 74.2182189634057, '2w': 39.2245695492273, '3m': 69.0079910218183, '6m': 67.3229773959117}"
14,2022-03-31,"{'1m': 68.1272351198169, '1w': 42.274855895197, '1y': 74.2200451490676, '2w': 40.1818364574075, '3m': 69.0038279817561, '6m': 67.1869174826056}"
15,2022-04-01,"{'1m': 58.7285633674381, '1w': 50.2351685426451, '1y': 74.3011132632076, '2w': 44.9296267146753, '3m': 69.2909033831075, '6m': 66.6071854791975}"
16,2022-04-02,"{'1m': 59.1490386682015, '1w': 52.6925948319548, '1y': 74.3435115299434, '2w': 45.4636292022796, '3m': 69.4816895389914, '6m': 66.2628701031995}"
17,2022-04-03,"{'1m': 58.5338948312417, '1w': 52.4236444946293, '1y': 74.3453956734374, '2w': 45.3089291723002, '3m': 69.4680532293164, '6m': 66.267999040132}"
