symbol,price24hPcnt,lastPrice,highPrice24h,take_profit
OBXUSDT,0.4051,0.002976,0.002976,1
FLOKIUSDT,0.1626,0.000036879,0.000049724,0
VINUUSDT,0.1596,0.00000001279,0.00000001458,1
SISUSDT,0.1205,0.17406,0.17983,1
FIDAUSDT,0.0984,0.4199,0.5,0
INJUSDT,0.0957,7.1906,7.353,1
FITFIUSDT,0.0882,0.008733,0.00975,1
GALFTUSDT,0.0853,4.43281,4.90586,1
RAINUSDT,0.0775,0.001794,0.001938,1
CHRPUSDT,0.0765,0.007035,0.00748,1
WLKNUSDT,0.0679,0.04261,0.0439,1
ZAMUSDT,0.0653,0.005626,0.005635,1
MPLXUSDT,0.0646,0.02949,0.02982,1
CELUSDT,0.0578,0.2871,0.2977,1
CITYUSDT,0.0572,7.1617,7.5449,1
STRMUSDT,0.0466,0.013711,0.014067,1
BARUSDT,0.0451,4.1511,4.2411,1
MMCUSDT,0.0449,0.089768,0.0945,1
HVHUSDT,0.0340,0.04438,0.0489,1
CHZUSDT,0.0331,0.1247,0.1269,1
MASKUSDT,0.0286,4.728,4.7932,1
SCUSDT,0.0258,0.004013,0.0042,1
INTERUSDT,0.0254,2.8916,2.9572,1
ACMUSDT,0.0254,3.0887,3.3397,1
SHILLUSDT,0.0251,0.01226,0.01297,1
AVAUSDT,0.0233,0.6015,0.6087,1
ZBCUSDT,0.0223,0.015913,0.016131,1
SONUSDT,0.0208,0.0004573,0.00052,1
RVNUSDT,0.0207,0.02372,0.02385,1
RNDRUSDT,0.0203,1.8059,1.877,1
PSGUSDT,0.0200,5.47,5.5619,1
TIMEUSDT,0.0197,33.8156,34.3103,1
WEMIXUSDT,0.0194,1.2745,1.2876,1
DASHUSDT,0.0184,49.7,50.6,1
XAVAUSDT,0.0179,0.3646,0.371,1
LTCUSDT,0.0162,89.13,89.82,1
DOMEUSDT,0.0159,0.001084,0.001192,1
FORTUSDT,0.0151,0.0942,0.0969,1
QMALLUSDT,0.0149,0.2318,0.2396,1
PUMLXUSDT,0.0149,0.02037,0.02156,1
RACAUSDT,0.0144,0.00019397,0.00019514,1
GGMUSDT,0.0136,0.005434,0.005891,1
FLRUSDT,0.0133,0.03199,0.0323,1
PLYUSDT,0.0124,0.000514,0.0005243,1
KASTAUSDT,0.0121,0.02427,0.02486,1
GMUSDT,0.0112,0.0000073745,0.0000077999,1
SIDUSUSDT,0.0101,0.0017661,0.001862,1
PLTUSDT,0.0088,0.07443,0.07454,1
BICOUSDT,0.0088,0.3661,0.3721,1
SAITAMAUSDT,0.0081,0.0015071,0.0015439,1
MBSUSDT,0.0076,0.040287,0.042299,1
TRVLUSDT,0.0074,0.050148,0.050529,1
LGXUSDT,0.0058,0.005768,0.005777,1
LUNAUSDT,0.0052,1.2463,1.2745,1
INSURUSDT,0.0045,0.08643,0.091,1
3PUSDT,0.0040,0.00000004483,0.00000004884,1
PAXGUSDT,0.0040,1994.5738,2185,1
WOOUSDT,0.0038,0.25061,0.26779,1
