Price,Quantity,Type
29373.5,9.611,Ask
29374,32.572,Ask
29374.5,18.262,Ask
29375,17.452,Ask
29375.5,3.041,Ask
29376,30.52,Ask
29376.5,20.908,Ask
29377,3.844,Ask
29377.5,102.126,Ask
29378,31.006,Ask
29378.5,102.148,Ask
29379,58.924,Ask
29379.5,102.131,Ask
2.938E+4,102.123,Ask
29380.5,10.27,Ask
29381,0.04,Ask
29381.5,7.062,Ask
29382,3.015,Ask
29383,65.339,Ask
29383.5,0.097,Ask
29384.5,3.053,Ask
29385,3.034,Ask
29385.5,3.046,Ask
29386,3.057,Ask
29386.5,3.02,Ask
29387,18.462,Ask
29387.5,3.682,Ask
29388,36.022,Ask
29388.5,10.876,Ask
29389,6.144,Ask
29389.5,7.64,Ask
2.939E+4,18.462,Ask
29390.5,19.596,Ask
29391,31.892,Ask
29391.5,3.047,Ask
29392,3.037,Ask
29392.5,3.023,Ask
29393.5,3.017,Ask
29394,0.011,Ask
29395,40.321,Ask
29395.5,0.011,Ask
29396,3.026,Ask
29396.5,47.962,Ask
29397.5,3.01,Ask
29398,3.032,Ask
29398.5,3.01,Ask
29399,3.048,Ask
2.94E+4,58.848,Ask
29402,3.031,Ask
29402.5,102.151,Ask
29373,1.516,Bid
29372.5,6.005,Bid
29371.5,2.0,Bid
29370.5,0.219,Bid
2.937E+4,0.072,Bid
29369.5,2.443,Bid
29368.5,7.84,Bid
29368,42.886,Bid
29367.5,30.066,Bid
29367,24.945,Bid
29366.5,34.894,Bid
29366,3.023,Bid
29365.5,3.028,Bid
29365,0.131,Bid
29364.5,3.039,Bid
29364,32.537,Bid
29363.5,10.231,Bid
29363,3.043,Bid
29362.5,95.917,Bid
29362,13.754,Bid
29361.5,69.66,Bid
29361,36.435,Bid
29360.5,19.709,Bid
2.936E+4,27.476,Bid
29359.5,55.513,Bid
29359,102.158,Bid
29358.5,52.722,Bid
29358,67.221,Bid
29357.5,6.752,Bid
29357,3.028,Bid
29356.5,11.998,Bid
29356,4.092,Bid
29355.5,3.048,Bid
29355,7.519,Bid
29354.5,0.997,Bid
29354,16.21,Bid
29353.5,0.013,Bid
29353,23.089,Bid
29352.5,0.002,Bid
29352,22.449,Bid
29351.5,4.206,Bid
29351,3.477,Bid
29350.5,0.011,Bid
2.935E+4,32.885,Bid
29349.5,0.001,Bid
29349,3.054,Bid
29348.5,0.088,Bid
29348,9.265,Bid
29347.5,3.044,Bid
29347,31.295,Bid
